From To Probability
0 16 1.583162e-01
0 8 2.112264e-01
0 4 4.048228e-01
0 2 7.720902e-02
0 1 1.484256e-01
1 17 3.704546e-07
1 9 6.075668e-01
1 5 3.924328e-01
1 3 3.357861e-08
2 18 4.486204e-04
2 10 9.972109e-01
2 6 2.340469e-03
2 3 3.041652e-09
3 19 3.656895e-10
3 11 9.992096e-01
3 7 7.903640e-04
4 20 9.963852e-01
4 12 2.144015e-05
4 6 3.591311e-03
4 5 2.080568e-06
5 21 3.642811e-02
5 13 9.635475e-01
5 7 2.440323e-05
6 22 9.653910e-01
6 14 3.460898e-02
6 7 1.457823e-11
7 23 2.269178e-05
7 15 9.999773e-01
8 24 6.884131e-07
8 12 2.464105e-02
8 10 3.049303e-05
8 9 9.753278e-01
9 25 6.743714e-11
9 13 1.000000e+00
9 11 5.551824e-10
10 26 1.369111e-05
10 14 9.998460e-01
10 11 1.402772e-04
11 27 3.305331e-11
11 15 1.000000e+00
12 28 2.230700e-01
12 14 7.302568e-02
12 13 7.039043e-01
13 29 9.426455e-01
13 15 5.735453e-02
14 30 9.999772e-01
14 15 2.281967e-05
15 31 1.000000e+00
16 24 6.013386e-02
16 20 8.925521e-01
16 18 3.871477e-02
16 17 8.599274e-03
17 25 1.666030e-01
17 21 8.333970e-01
17 19 1.621770e-08
18 26 9.821478e-01
18 22 1.785215e-02
18 19 6.096512e-10
19 27 9.939114e-01
19 23 6.088580e-03
20 28 3.377835e-03
20 22 9.965555e-01
20 21 6.670750e-05
21 29 9.999554e-01
21 23 4.460593e-05
22 30 1.000000e+00
22 23 8.572315e-11
23 31 1.000000e+00
24 28 4.901042e-01
24 26 1.379335e-04
24 25 5.097579e-01
25 29 1.000000e+00
25 27 1.262629e-10
26 30 9.999963e-01
26 27 3.686690e-06
27 31 1.000000e+00
28 30 4.730960e-01
28 29 5.269040e-01
29 31 1.000000e+00
30 31 1.000000e+00
