From To Probability
0 16 2.123502e-01
0 8 1.088125e-01
0 4 2.809038e-01
0 2 2.106993e-01
0 1 1.872343e-01
1 17 1.207078e-07
1 9 9.914610e-01
1 5 1.178759e-05
1 3 8.527119e-03
2 18 9.997218e-01
2 10 1.957675e-09
2 6 7.537884e-06
2 3 2.706371e-04
3 19 9.690434e-01
3 11 3.041718e-02
3 7 5.393841e-04
4 20 8.818724e-04
4 12 8.253165e-01
4 6 1.737050e-01
4 5 9.671540e-05
5 21 6.659861e-11
5 13 9.990660e-01
5 7 9.339596e-04
6 22 9.999628e-01
6 14 3.576301e-06
6 7 3.367048e-05
7 23 1.714451e-02
7 15 9.828555e-01
8 24 2.472584e-06
8 12 5.093505e-02
8 10 9.490612e-01
8 9 1.265086e-06
9 25 3.659117e-11
9 13 5.564505e-05
9 11 9.999444e-01
10 26 8.947953e-01
10 14 1.050642e-01
10 11 1.405621e-04
11 27 1.034347e-01
11 15 8.965653e-01
12 28 1.312384e-08
12 14 1.000000e+00
12 13 8.351935e-10
13 29 1.843336e-13
13 15 1.000000e+00
14 30 9.999805e-01
14 15 1.953859e-05
15 31 1.000000e+00
16 24 7.335111e-01
16 20 2.599343e-01
16 18 1.250101e-04
16 17 6.429641e-03
17 25 9.999976e-01
17 21 1.632023e-06
17 19 7.569716e-07
18 26 8.105108e-04
18 22 4.283961e-01
18 19 5.707934e-01
19 27 9.975717e-01
19 23 2.428294e-03
20 28 9.999809e-01
20 22 1.852411e-05
20 21 5.969530e-07
21 29 9.999999e-01
21 23 8.227876e-08
22 30 9.542340e-01
22 23 4.576604e-02
23 31 1.000000e+00
24 28 9.881933e-01
24 26 1.180580e-02
24 25 9.108371e-07
25 29 7.985987e-02
25 27 9.201401e-01
26 30 9.999504e-01
26 27 4.964637e-05
27 31 1.000000e+00
28 30 1.000000e+00
28 29 4.833998e-08
29 31 1.000000e+00
30 31 1.000000e+00
