From To Probability
0 16 1.357574e-01
0 8 3.162074e-01
0 4 1.747433e-01
0 2 1.849919e-01
0 1 1.882999e-01
1 17 4.400245e-01
1 9 1.207766e-01
1 5 3.210180e-01
1 3 1.181809e-01
2 18 9.790539e-05
2 10 9.998170e-01
2 6 8.508281e-05
2 3 1.558709e-08
3 19 8.299471e-04
3 11 9.987613e-01
3 7 4.087907e-04
4 20 1.619474e-04
4 12 1.090734e-01
4 6 4.512119e-01
4 5 4.395528e-01
5 21 1.588529e-03
5 13 1.260774e-01
5 7 8.723341e-01
6 22 3.386488e-07
6 14 9.999996e-01
6 7 1.055015e-07
7 23 2.873764e-06
7 15 9.999971e-01
8 24 3.563028e-01
8 12 6.412153e-01
8 10 7.712988e-07
8 9 2.481137e-03
9 25 4.950495e-01
9 13 5.049503e-01
9 11 2.112191e-07
10 26 4.514634e-01
10 14 5.485362e-01
10 11 3.608492e-07
11 27 5.921893e-01
11 15 4.078107e-01
12 28 6.834872e-02
12 14 3.025180e-04
12 13 9.313488e-01
13 29 9.991284e-01
13 15 8.716121e-04
14 30 9.984384e-01
14 15 1.561618e-03
15 31 1.000000e+00
16 24 5.939053e-04
16 20 6.180240e-01
16 18 3.813545e-01
16 17 2.761318e-05
17 25 1.644736e-04
17 21 8.231944e-01
17 19 1.766411e-01
18 26 8.618879e-01
18 22 1.381121e-01
18 19 1.049099e-09
19 27 5.647408e-01
19 23 4.352592e-01
20 28 2.201819e-04
20 22 9.997105e-01
20 21 6.927793e-05
21 29 1.316638e-04
21 23 9.998683e-01
22 30 1.000000e+00
22 23 8.237202e-09
23 31 1.000000e+00
24 28 9.999991e-01
24 26 7.011159e-07
24 25 1.604383e-07
25 29 9.999998e-01
25 27 2.438124e-07
26 30 1.000000e+00
26 27 2.727608e-11
27 31 1.000000e+00
28 30 8.203421e-01
28 29 1.796579e-01
29 31 1.000000e+00
30 31 1.000000e+00
