From To Probability
0 16 3.753873e-01
0 8 2.719536e-01
0 4 1.253997e-01
0 2 1.219493e-04
0 1 2.271375e-01
1 17 5.782133e-01
1 9 6.383593e-07
1 5 4.217741e-01
1 3 1.198754e-05
2 18 2.480984e-02
2 10 4.419007e-03
2 6 6.505506e-02
2 3 9.057161e-01
3 19 1.486824e-01
3 11 4.035731e-08
3 7 8.513176e-01
4 20 9.864607e-01
4 12 2.117546e-06
4 6 8.828877e-07
4 5 1.353631e-02
5 21 9.999999e-01
5 13 3.271259e-12
5 7 5.711733e-08
6 22 5.470747e-01
6 14 2.887256e-07
6 7 4.529250e-01
7 23 1.000000e+00
7 15 8.042676e-13
8 24 5.618962e-06
8 12 1.583842e-02
8 10 3.546766e-05
8 9 9.841205e-01
9 25 1.624315e-04
9 13 9.997721e-01
9 11 6.543179e-05
10 26 9.443662e-08
10 14 2.089472e-03
10 11 9.979104e-01
11 27 2.069760e-05
11 15 9.999793e-01
12 28 2.517011e-04
12 14 4.377109e-06
12 13 9.997439e-01
13 29 9.988914e-01
13 15 1.108569e-03
14 30 4.172877e-06
14 15 9.999958e-01
15 31 1.000000e+00
16 24 3.863820e-06
16 20 1.785550e-03
16 18 1.186242e-09
16 17 9.982106e-01
17 25 1.510191e-09
17 21 1.000000e+00
17 19 1.941638e-08
18 26 1.576959e-08
18 22 2.326645e-04
18 19 9.997673e-01
19 27 4.730173e-11
19 23 1.000000e+00
20 28 5.057328e-10
20 22 1.443662e-10
20 21 1.000000e+00
21 29 8.364484e-05
21 23 9.999164e-01
22 30 2.060856e-12
22 23 1.000000e+00
23 31 1.000000e+00
24 28 5.214146e-05
24 26 7.976675e-11
24 25 9.999479e-01
25 29 1.000000e+00
25 27 4.471012e-08
26 30 6.783974e-06
26 27 9.999932e-01
27 31 1.000000e+00
28 30 9.690784e-12
28 29 1.000000e+00
29 31 1.000000e+00
30 31 1.000000e+00
