From To Probability
0 16 1.507628e-01
0 8 6.588875e-01
0 4 1.529829e-01
0 2 3.733975e-02
0 1 2.706957e-05
1 17 5.631189e-07
1 9 9.001439e-03
1 5 9.909947e-01
1 3 3.314238e-06
2 18 3.019820e-07
2 10 5.759487e-01
2 6 4.238157e-01
2 3 2.352906e-04
3 19 4.096739e-13
3 11 2.857828e-03
3 7 9.971422e-01
4 20 6.259625e-07
4 12 9.999063e-01
4 6 5.436044e-08
4 5 9.300718e-05
5 21 1.711568e-10
5 13 1.000000e+00
5 7 3.532118e-10
6 22 1.433183e-12
6 14 9.990759e-01
6 7 9.240730e-04
7 23 3.922005e-16
7 15 1.000000e+00
8 24 9.999990e-01
8 12 2.650560e-07
8 10 4.863487e-07
8 9 2.454798e-07
9 25 6.850736e-01
9 13 3.149184e-01
9 11 7.917571e-06
10 26 4.112101e-01
10 14 1.507473e-01
10 11 4.380426e-01
11 27 1.572863e-06
11 15 9.999984e-01
12 28 8.311578e-01
12 14 1.417390e-07
12 13 1.688421e-01
13 29 9.999959e-01
13 15 4.052383e-06
14 30 1.134399e-06
14 15 9.999989e-01
15 31 1.000000e+00
16 24 2.707660e-04
16 20 7.705935e-01
16 18 2.290934e-01
16 17 4.240643e-05
17 25 7.410353e-07
17 21 9.999952e-01
17 19 4.073510e-06
18 26 1.108368e-04
18 22 9.997166e-01
18 19 1.726125e-04
19 27 2.338187e-07
19 23 9.999998e-01
20 28 7.377895e-01
20 22 5.988450e-04
20 21 2.616117e-01
21 29 9.999947e-01
21 23 5.273406e-06
22 30 2.209484e-01
22 23 7.790516e-01
23 31 1.000000e+00
24 28 2.838498e-01
24 26 6.343914e-01
24 25 8.175878e-02
25 29 9.999694e-01
25 27 3.062239e-05
26 30 5.252868e-01
26 27 4.747132e-01
27 31 1.000000e+00
28 30 3.287744e-06
28 29 9.999967e-01
29 31 1.000000e+00
30 31 1.000000e+00
