From To Probability
0 16 3.098438e-01
0 8 6.526304e-01
0 4 3.599581e-02
0 2 1.280694e-03
0 1 2.492803e-04
1 17 9.858249e-02
1 9 1.335741e-02
1 5 8.880565e-01
1 3 3.564501e-06
2 18 7.370671e-06
2 10 3.286944e-01
2 6 6.419183e-01
2 3 2.937995e-02
3 19 1.480168e-07
3 11 4.246139e-04
3 7 9.995752e-01
4 20 8.474135e-01
4 12 1.502310e-01
4 6 1.980179e-08
4 5 2.355443e-03
5 21 9.887245e-01
5 13 1.127554e-02
5 7 2.021067e-10
6 22 5.705894e-05
6 14 2.141651e-01
6 7 7.857779e-01
7 23 4.124602e-03
7 15 9.958754e-01
8 24 9.876019e-01
8 12 7.940177e-04
8 10 1.158776e-02
8 9 1.634581e-05
9 25 9.412256e-01
9 13 5.867779e-02
9 11 9.660681e-05
10 26 1.458328e-03
10 14 8.789561e-01
10 11 1.195856e-01
11 27 2.139671e-05
11 15 9.999786e-01
12 28 9.999428e-01
12 14 6.632838e-08
12 13 5.717838e-05
13 29 1.000000e+00
13 15 5.802572e-10
14 30 3.517338e-03
14 15 9.964827e-01
15 31 1.000000e+00
16 24 8.852412e-01
16 20 1.066943e-01
16 18 2.240796e-04
16 17 7.840397e-03
17 25 6.836087e-03
17 21 9.931637e-01
17 19 2.353134e-07
18 26 1.362364e-01
18 22 5.814007e-01
18 19 2.823629e-01
19 27 1.943567e-04
19 23 9.998056e-01
20 28 7.333777e-01
20 22 1.246910e-08
20 21 2.666223e-01
21 29 1.000000e+00
21 23 2.312096e-09
22 30 1.161765e-02
22 23 9.883824e-01
23 31 1.000000e+00
24 28 4.807908e-01
24 26 4.141840e-01
24 25 1.050252e-01
25 29 9.999028e-01
25 27 9.717610e-05
26 30 4.092180e-01
26 27 5.907820e-01
27 31 1.000000e+00
28 30 6.453147e-06
28 29 9.999935e-01
29 31 1.000000e+00
30 31 1.000000e+00
