From To Probability
0 16 2.669340e-01
0 8 2.943069e-01
0 4 9.444162e-02
0 2 1.831030e-01
0 1 1.612144e-01
1 17 7.623684e-09
1 9 3.804032e-05
1 5 7.135522e-01
1 3 2.864098e-01
2 18 2.538908e-05
2 10 9.406827e-01
2 6 4.155953e-02
2 3 1.773239e-02
3 19 2.308377e-12
3 11 3.870667e-04
3 7 9.996129e-01
4 20 9.970671e-01
4 12 6.265156e-04
4 6 6.198656e-04
4 5 1.686490e-03
5 21 2.936611e-05
5 13 8.350967e-05
5 7 9.998871e-01
6 22 4.154233e-02
6 14 8.771988e-01
6 7 8.125885e-02
7 23 1.046419e-05
7 15 9.999895e-01
8 24 2.363666e-01
8 12 4.876518e-01
8 10 1.431123e-05
8 9 2.759673e-01
9 25 1.832197e-09
9 13 9.999939e-01
9 11 6.075676e-06
10 26 9.177305e-05
10 14 8.759980e-01
10 11 1.239102e-01
11 27 3.960141e-13
11 15 1.000000e+00
12 28 9.967407e-01
12 14 5.469590e-08
12 13 3.259217e-03
13 29 2.496622e-01
13 15 7.503378e-01
14 30 2.091442e-01
14 15 7.908558e-01
15 31 1.000000e+00
16 24 6.415732e-02
16 20 3.039805e-02
16 18 3.604684e-01
16 17 5.449762e-01
17 25 1.045031e-05
17 21 2.894326e-01
17 19 7.105570e-01
18 26 7.366221e-01
18 22 4.805171e-02
18 19 2.153262e-01
19 27 2.621824e-04
19 23 9.997378e-01
20 28 1.935076e-02
20 22 1.728978e-01
20 21 8.077514e-01
21 29 9.248170e-06
21 23 9.999908e-01
22 30 4.104276e-01
22 23 5.895724e-01
23 31 1.000000e+00
24 28 1.440167e-01
24 26 2.585054e-05
24 25 8.559574e-01
25 29 9.999628e-01
25 27 3.715956e-05
26 30 4.023209e-01
26 27 5.976791e-01
27 31 1.000000e+00
28 30 9.773167e-06
28 29 9.999902e-01
29 31 1.000000e+00
30 31 1.000000e+00
