From To Probability
0 16 1.406172e-05
0 8 9.992003e-01
0 4 2.351915e-07
0 2 7.853433e-04
0 1 4.353768e-08
1 17 3.150630e-08
1 9 9.999537e-01
1 5 1.913063e-09
1 3 4.629890e-05
2 18 3.816996e-09
2 10 9.999997e-01
2 6 3.600453e-08
2 3 2.905883e-07
3 19 8.545813e-12
3 11 1.000000e+00
3 7 2.926426e-10
4 20 2.737642e-08
4 12 9.999180e-01
4 6 5.419947e-06
4 5 7.654626e-05
5 21 6.129763e-11
5 13 9.999997e-01
5 7 3.193113e-07
6 22 7.422094e-12
6 14 9.994897e-01
6 7 5.102740e-04
7 23 1.662569e-14
7 15 1.000000e+00
8 24 9.701092e-01
8 12 2.470286e-02
8 10 5.187724e-03
8 9 1.998771e-07
9 25 8.109327e-01
9 13 7.496527e-02
9 11 1.141020e-01
10 26 6.507928e-02
10 14 9.345910e-01
10 11 3.296968e-04
11 27 1.882006e-02
11 15 9.811799e-01
12 28 8.298614e-01
12 14 1.573110e-02
12 13 1.544075e-01
13 29 6.672110e-01
13 15 3.327890e-01
14 30 2.185307e-04
14 15 9.997815e-01
15 31 1.000000e+00
16 24 1.000000e+00
16 20 1.669827e-14
16 18 1.908043e-10
16 17 1.203593e-11
17 25 1.000000e+00
17 21 1.357225e-16
17 19 1.124015e-11
18 26 1.000000e+00
18 22 2.554228e-15
18 19 8.026851e-11
19 27 1.000000e+00
19 23 2.076061e-17
20 28 1.000000e+00
20 22 1.315867e-12
20 21 2.114591e-08
21 29 1.000000e+00
21 23 7.751677e-14
22 30 9.999999e-01
22 23 1.410237e-07
23 31 1.000000e+00
24 28 5.713828e-01
24 26 4.106158e-01
24 25 1.800145e-02
25 29 1.610697e-01
25 27 8.389303e-01
26 30 4.213025e-01
26 27 5.786975e-01
27 31 1.000000e+00
28 30 8.952949e-05
28 29 9.999105e-01
29 31 1.000000e+00
30 31 1.000000e+00
