From To Probability
0 16 2.218874e-01
0 8 2.743848e-01
0 4 1.799013e-01
0 2 2.017072e-01
0 1 1.221192e-01
1 17 9.803066e-01
1 9 1.047437e-03
1 5 1.864591e-02
1 3 1.836797e-09
2 18 4.690808e-04
2 10 3.849294e-01
2 6 6.144925e-01
2 3 1.090073e-04
3 19 3.082527e-02
3 11 2.185643e-02
3 7 9.473183e-01
4 20 3.549242e-04
4 12 2.206431e-08
4 6 4.995500e-05
4 5 9.995951e-01
5 21 9.999999e-01
5 13 5.371476e-08
5 7 2.901040e-10
6 22 8.401847e-04
6 14 3.466057e-05
6 7 9.991252e-01
7 23 9.999644e-01
7 15 3.564383e-05
8 24 1.262864e-06
8 12 9.997504e-01
8 10 5.743694e-07
8 9 2.477990e-04
9 25 5.384205e-05
9 13 9.999462e-01
9 11 5.047387e-14
10 26 7.818037e-10
10 14 9.999999e-01
10 11 6.477347e-08
11 27 3.332557e-08
11 15 1.000000e+00
12 28 9.959087e-07
12 14 7.013079e-08
12 13 9.999989e-01
13 29 1.000000e+00
13 15 1.451441e-10
14 30 2.358644e-06
14 15 9.999976e-01
15 31 1.000000e+00
16 24 1.119032e-05
16 20 2.017510e-06
16 18 9.999851e-01
16 17 1.710779e-06
17 25 1.637147e-01
17 21 8.013865e-01
17 19 3.489877e-02
18 26 6.948948e-01
18 22 3.050376e-01
18 19 6.759598e-05
19 27 7.740937e-02
19 23 9.225906e-01
20 28 3.439020e-09
20 22 9.464825e-01
20 21 5.351748e-02
21 29 1.520861e-03
21 23 9.984791e-01
22 30 1.009822e-04
22 23 9.998990e-01
23 31 1.000000e+00
24 28 7.972674e-01
24 26 2.024857e-01
24 25 2.468542e-04
25 29 1.000000e+00
25 27 2.231416e-08
26 30 9.999999e-01
26 27 8.091437e-08
27 31 1.000000e+00
28 30 2.421723e-02
28 29 9.757828e-01
29 31 1.000000e+00
30 31 1.000000e+00
