From To Probability
0 16 2.289402e-06
0 8 5.318886e-05
0 4 4.332951e-01
0 2 2.822091e-01
0 1 2.844403e-01
1 17 2.130366e-10
1 9 2.791494e-04
1 5 3.636756e-01
1 3 6.360452e-01
2 18 4.073524e-08
2 10 3.233589e-09
2 6 9.997795e-01
2 3 2.204202e-04
3 19 4.517185e-12
3 11 2.022396e-08
3 7 1.000000e+00
4 20 2.805813e-10
4 12 2.123151e-08
4 6 3.810656e-01
4 5 6.189344e-01
5 21 3.040004e-14
5 13 1.297418e-07
5 7 9.999999e-01
6 22 1.040884e-08
6 14 2.691164e-09
6 7 1.000000e+00
7 23 6.857226e-05
7 15 9.999314e-01
8 24 4.928990e-05
8 12 8.586900e-01
8 10 1.407225e-01
8 9 5.382823e-04
9 25 4.419186e-09
9 13 6.944146e-01
9 11 3.055854e-01
10 26 4.426385e-07
10 14 9.999993e-01
10 11 2.105297e-07
11 27 4.907398e-11
11 15 1.000000e+00
12 28 3.159611e-08
12 14 9.938736e-01
12 13 6.126360e-03
13 29 1.312556e-12
13 15 1.000000e+00
14 30 1.184044e-04
14 15 9.998816e-01
15 31 1.000000e+00
16 24 1.474513e-11
16 20 6.641202e-02
16 18 8.784156e-01
16 17 5.517239e-02
17 25 3.801795e-11
17 21 2.738428e-02
17 19 9.726157e-01
18 26 5.848230e-15
18 22 9.997211e-01
18 19 2.789291e-04
19 27 3.657894e-14
19 23 1.000000e+00
20 28 4.506171e-15
20 22 9.080876e-01
20 21 9.191243e-02
21 29 1.155524e-14
21 23 1.000000e+00
22 30 3.846249e-15
22 23 1.000000e+00
23 31 1.000000e+00
24 28 2.310072e-01
24 26 7.688095e-01
24 25 1.832597e-04
25 29 1.006365e-01
25 27 8.993635e-01
26 30 9.999997e-01
26 27 2.664288e-07
27 31 1.000000e+00
28 30 9.996160e-01
28 29 3.839779e-04
29 31 1.000000e+00
30 31 1.000000e+00
