From To Probability
0 16 2.787545e-01
0 8 1.138369e-01
0 4 1.728807e-01
0 2 2.042302e-01
0 1 2.302977e-01
1 17 2.595254e-06
1 9 3.662363e-01
1 5 5.223861e-01
1 3 1.113750e-01
2 18 9.107640e-02
2 10 6.774245e-04
2 6 5.618059e-01
2 3 3.464403e-01
3 19 4.988558e-07
3 11 1.282183e-03
3 7 9.987173e-01
4 20 4.413594e-01
4 12 4.927822e-01
4 6 2.365333e-02
4 5 4.220514e-02
5 21 2.570969e-06
5 13 9.919268e-01
5 7 8.070609e-03
6 22 6.846434e-01
6 14 1.392261e-02
6 7 3.014339e-01
7 23 1.422859e-04
7 15 9.998577e-01
8 24 2.766278e-02
8 12 2.195173e-03
8 10 9.687748e-01
8 9 1.367242e-03
9 25 4.814426e-07
9 13 1.239951e-02
9 11 9.876000e-01
10 26 4.958251e-01
10 14 3.913428e-01
10 11 1.128321e-01
11 27 3.903753e-06
11 15 9.999961e-01
12 28 2.803143e-01
12 14 7.180821e-01
12 13 1.603615e-03
13 29 6.664365e-06
13 15 9.999933e-01
14 30 9.743364e-01
14 15 2.566365e-02
15 31 1.000000e+00
16 24 1.866368e-01
16 20 1.162588e-01
16 18 7.711746e-02
16 17 6.199869e-01
17 25 6.041956e-01
17 21 3.534867e-01
17 19 4.231773e-02
18 26 8.468057e-04
18 22 2.880544e-01
18 19 7.110988e-01
19 27 3.120219e-03
19 23 9.968798e-01
20 28 8.682903e-01
20 22 9.598886e-03
20 21 1.221108e-01
21 29 9.981296e-01
21 23 1.870390e-03
22 30 2.735914e-02
22 23 9.726409e-01
23 31 1.000000e+00
24 28 3.979358e-03
24 26 9.860986e-01
24 25 9.922086e-03
25 29 2.187089e-02
25 27 9.781291e-01
26 30 4.642050e-01
26 27 5.357950e-01
27 31 1.000000e+00
28 30 9.843279e-01
28 29 1.567205e-02
29 31 1.000000e+00
30 31 1.000000e+00
