From To Probability
0 16 1.368689e-01
0 8 2.742904e-01
0 4 2.756299e-01
0 2 8.832163e-02
0 1 2.248891e-01
1 17 1.408998e-01
1 9 2.039968e-01
1 5 6.551033e-01
1 3 3.325898e-08
2 18 2.116857e-01
2 10 6.470674e-01
2 6 5.194481e-02
2 3 8.930209e-02
3 19 2.649095e-01
3 11 5.850093e-01
3 7 1.500812e-01
4 20 3.488378e-03
4 12 3.114024e-07
4 6 4.818340e-03
4 5 9.916930e-01
5 21 9.999350e-01
5 13 6.448776e-05
5 7 5.052215e-07
6 22 1.351541e-02
6 14 1.840263e-06
6 7 9.864828e-01
7 23 9.999016e-01
7 15 9.835921e-05
8 24 4.735422e-01
8 12 5.264561e-01
8 10 4.546343e-07
8 9 1.258879e-06
9 25 2.803684e-01
9 13 7.196316e-01
9 11 9.846200e-14
10 26 8.806946e-01
10 14 1.193048e-01
10 11 6.011145e-07
11 27 7.617542e-01
11 15 2.382458e-01
12 28 9.995382e-01
12 14 2.054067e-06
12 13 4.597426e-04
13 29 1.000000e+00
13 15 7.517117e-13
14 30 9.998819e-01
14 15 1.180785e-04
15 31 1.000000e+00
16 24 2.212772e-03
16 20 3.273322e-06
16 18 1.914808e-07
16 17 9.977838e-01
17 25 9.952948e-01
17 21 4.705163e-03
17 19 4.360832e-11
18 26 1.300351e-02
18 22 1.536703e-06
18 19 9.869949e-01
19 27 9.996225e-01
19 23 3.775164e-04
20 28 5.709560e-10
20 22 2.374162e-09
20 21 1.000000e+00
21 29 9.999979e-01
21 23 2.105406e-06
22 30 3.391941e-09
22 23 1.000000e+00
23 31 1.000000e+00
24 28 5.281610e-01
24 26 8.326492e-08
24 25 4.718390e-01
25 29 1.000000e+00
25 27 2.497780e-14
26 30 3.469368e-01
26 27 6.530632e-01
27 31 1.000000e+00
28 30 2.183181e-09
28 29 1.000000e+00
29 31 1.000000e+00
30 31 1.000000e+00
