From To Probability
0 16 1.825998e-01
0 8 1.294236e-01
0 4 2.345092e-01
0 2 2.266338e-01
0 1 2.268336e-01
1 17 2.773775e-07
1 9 3.062921e-01
1 5 4.533607e-01
1 3 2.403470e-01
2 18 5.126264e-01
2 10 2.643896e-01
2 6 8.284540e-04
2 3 2.221555e-01
3 19 1.241351e-06
3 11 9.974456e-01
3 7 2.553143e-03
4 20 3.476518e-02
4 12 3.027152e-01
4 6 4.867707e-01
4 5 1.757489e-01
5 21 4.284343e-08
5 13 5.811994e-01
5 7 4.188006e-01
6 22 1.098943e-01
6 14 6.962975e-01
6 7 1.938082e-01
7 23 1.013046e-07
7 15 9.999999e-01
8 24 8.818999e-01
8 12 2.754973e-07
8 10 2.907220e-02
8 9 8.902767e-02
9 25 4.344821e-05
9 13 1.727360e-05
9 11 9.999393e-01
10 26 9.659809e-01
10 14 3.797295e-10
10 11 3.401913e-02
11 27 9.995000e-01
11 15 5.000364e-04
12 28 5.609453e-01
12 14 2.086097e-01
12 13 2.304449e-01
13 29 3.851600e-06
13 15 9.999961e-01
14 30 8.746486e-01
14 15 1.253514e-01
15 31 1.000000e+00
16 24 4.896594e-05
16 20 7.906532e-03
16 18 1.459840e-05
16 17 9.920299e-01
17 25 7.516743e-03
17 21 9.914790e-01
17 19 1.004230e-03
18 26 1.029421e-04
18 22 2.874504e-05
18 19 9.998683e-01
19 27 8.142637e-01
19 23 1.857363e-01
20 28 1.489781e-04
20 22 4.078616e-05
20 21 9.998102e-01
21 29 8.907238e-01
21 23 1.092762e-01
22 30 3.107068e-04
22 23 9.996893e-01
23 31 1.000000e+00
24 28 2.385608e-08
24 26 4.809657e-06
24 25 9.999952e-01
25 29 8.960775e-03
25 27 9.910392e-01
26 30 8.605180e-11
26 27 1.000000e+00
27 31 1.000000e+00
28 30 1.333291e-05
28 29 9.999867e-01
29 31 1.000000e+00
30 31 1.000000e+00
