From To Probability
0 16 2.632871e-01
0 8 2.643721e-03
0 4 3.271404e-01
0 2 3.697056e-01
0 1 3.722323e-02
1 17 6.196226e-05
1 9 1.701196e-07
1 5 9.999374e-01
1 3 4.288908e-07
2 18 8.494110e-01
2 10 5.485784e-02
2 6 6.523360e-02
2 3 3.049759e-02
3 19 1.001527e-03
3 11 1.768579e-05
3 7 9.989808e-01
4 20 4.307436e-02
4 12 5.535350e-02
4 6 1.313970e-02
4 5 8.884324e-01
5 21 7.391661e-01
5 13 2.597224e-01
5 7 1.111480e-03
6 22 6.894941e-02
6 14 5.698908e-01
6 7 3.611597e-01
7 23 3.067515e-01
7 15 6.932485e-01
8 24 5.356711e-02
8 12 2.570094e-04
8 10 1.985484e-05
8 9 9.461560e-01
9 25 1.579407e-02
9 13 9.842059e-01
9 11 2.885727e-08
10 26 1.822832e-01
10 14 5.405630e-05
10 11 8.176628e-01
11 27 2.061177e-01
11 15 7.938823e-01
12 28 3.879233e-04
12 14 3.123590e-08
12 13 9.996120e-01
13 29 9.999996e-01
13 15 3.969181e-07
14 30 1.525766e-03
14 15 9.984742e-01
15 31 1.000000e+00
16 24 7.898352e-02
16 20 3.510457e-01
16 18 2.443704e-01
16 17 3.256004e-01
17 25 4.736644e-06
17 21 9.999950e-01
17 19 2.642012e-07
18 26 8.295437e-01
18 22 3.543077e-02
18 19 1.350256e-01
19 27 4.926571e-04
19 23 9.995073e-01
20 28 1.752999e-01
20 22 9.206479e-04
20 21 8.237794e-01
21 29 9.999053e-01
21 23 9.467224e-05
22 30 8.434914e-01
22 23 1.565086e-01
23 31 1.000000e+00
24 28 3.332190e-05
24 26 1.585660e-06
24 25 9.999651e-01
25 29 1.000000e+00
25 27 1.806060e-08
26 30 8.110119e-06
26 27 9.999919e-01
27 31 1.000000e+00
28 30 2.361262e-09
28 29 1.000000e+00
29 31 1.000000e+00
30 31 1.000000e+00
