From To Probability
0 16 3.797111e-01
0 8 7.451484e-03
0 4 5.567364e-01
0 2 2.981019e-02
0 1 2.629080e-02
1 17 3.149604e-05
1 9 1.795899e-05
1 5 9.999505e-01
1 3 3.682445e-10
2 18 7.413687e-02
2 10 9.117675e-01
2 6 1.390584e-02
2 3 1.897778e-04
3 19 2.262510e-04
3 11 8.084941e-02
3 7 9.189243e-01
4 20 9.113507e-02
4 12 1.259676e-05
4 6 7.148378e-08
4 5 9.088523e-01
5 21 9.959999e-01
5 13 4.000084e-03
5 7 1.163457e-10
6 22 6.871345e-01
6 14 5.952171e-02
6 7 2.533438e-01
7 23 2.843393e-01
7 15 7.156607e-01
8 24 2.888536e-01
8 12 1.498601e-02
8 10 6.253009e-02
8 9 6.336303e-01
9 25 8.893632e-04
9 13 9.991106e-01
9 11 2.867209e-08
10 26 9.193401e-01
10 14 6.101704e-03
10 11 7.455816e-02
11 27 6.910149e-03
11 15 9.930899e-01
12 28 3.155093e-03
12 14 6.823921e-09
12 13 9.968449e-01
13 29 1.000000e+00
13 15 3.221000e-10
14 30 7.885876e-02
14 15 9.211412e-01
15 31 1.000000e+00
16 24 4.120878e-07
16 20 1.245921e-05
16 18 9.992841e-01
16 17 7.030069e-04
17 25 4.435586e-05
17 21 9.994044e-01
17 19 5.512931e-04
18 26 9.034961e-01
18 22 5.576133e-03
18 19 9.092774e-02
19 27 1.785921e-01
19 23 8.214079e-01
20 28 2.866249e-08
20 22 9.859159e-05
20 21 9.999014e-01
21 29 9.826752e-01
21 23 1.732480e-02
22 30 4.856746e-04
22 23 9.995143e-01
23 31 1.000000e+00
24 28 1.587146e-07
24 26 9.919815e-01
24 25 8.018295e-03
25 29 9.587854e-01
25 27 4.121457e-02
26 30 6.848746e-05
26 27 9.999315e-01
27 31 1.000000e+00
28 30 8.581656e-06
28 29 9.999914e-01
29 31 1.000000e+00
30 31 1.000000e+00
