From To Probability
0 16 3.395564e-01
0 8 7.447673e-02
0 4 3.363148e-02
0 2 7.100760e-02
0 1 4.813277e-01
1 17 1.902563e-03
1 9 1.053456e-04
1 5 9.836828e-01
1 3 1.430924e-02
2 18 8.325910e-01
2 10 1.634376e-01
2 6 3.880467e-03
2 3 9.096671e-05
3 19 3.940247e-02
3 11 1.952596e-03
3 7 9.586449e-01
4 20 9.676553e-01
4 12 3.234303e-02
4 6 2.862889e-07
4 5 1.363751e-06
5 21 9.916223e-01
5 13 8.367103e-03
5 7 1.055152e-05
6 22 9.709550e-01
6 14 2.904495e-02
6 7 1.054716e-10
7 23 9.925050e-01
7 15 7.495025e-03
8 24 8.395247e-04
8 12 4.107766e-05
8 10 3.147735e-04
8 9 9.988046e-01
9 25 3.705013e-03
9 13 9.463331e-01
9 11 4.996193e-02
10 26 9.140748e-01
10 14 2.104613e-03
10 11 8.382057e-02
11 27 7.681013e-02
11 15 9.231899e-01
12 28 9.988180e-01
12 14 5.298366e-07
12 13 1.181460e-03
13 29 9.999809e-01
13 15 1.907797e-05
14 30 9.999999e-01
14 15 9.117050e-08
15 31 1.000000e+00
16 24 6.795157e-03
16 20 1.151747e-02
16 18 9.044918e-01
16 17 7.719558e-02
17 25 1.851398e-05
17 21 6.488894e-01
17 19 3.510920e-01
18 26 9.173503e-01
18 22 8.175220e-02
18 19 8.975082e-04
19 27 5.423591e-04
19 23 9.994576e-01
20 28 9.986918e-01
20 22 1.234173e-03
20 21 7.402162e-05
21 29 8.502968e-01
21 23 1.497032e-01
22 30 1.000000e+00
22 23 6.383184e-09
23 31 1.000000e+00
24 28 8.566645e-05
24 26 2.441698e-02
24 25 9.754974e-01
25 29 3.374116e-01
25 27 6.625884e-01
26 30 5.088613e-02
26 27 9.491139e-01
27 31 1.000000e+00
28 30 3.439312e-02
28 29 9.656069e-01
29 31 1.000000e+00
30 31 1.000000e+00
