From To Probability
0 16 0.128931
0 8 0.128667
0 4 0.284353
0 2 0.172058
0 1 0.285991
1 17 0.346151
1 9 0.33814
1 5 0.144019
1 3 0.171691
2 18 0.745243
2 10 0.237276
2 6 0.00904135
2 3 0.00843964
3 19 0.510433
3 11 0.241455
3 7 0.248112
4 20 0.352064
4 12 0.173628
4 6 0.262194
4 5 0.212114
5 21 0.603078
5 13 0.237491
5 7 0.159431
6 22 0.193845
6 14 0.491654
6 7 0.314501
7 23 0.0178295
7 15 0.982171
8 24 0.509633
8 12 0.0107039
8 10 0.445655
8 9 0.0340077
9 25 0.363603
9 13 0.388032
9 11 0.248365
10 26 0.583252
10 14 0.260354
10 11 0.156394
11 27 0.0278676
11 15 0.972132
12 28 0.381038
12 14 0.315036
12 13 0.303926
13 29 0.106098
13 15 0.893902
14 30 0.0391666
14 15 0.960833
15 31 1
16 24 0.253377
16 20 0.0116887
16 18 0.717765
16 17 0.017169
17 25 0.193392
17 21 0.543471
17 19 0.263138
18 26 0.543651
18 22 0.119373
18 19 0.336975
19 27 0.601039
19 23 0.398961
20 28 0.294559
20 22 0.0948129
20 21 0.610628
21 29 0.851476
21 23 0.148524
22 30 0.681098
22 23 0.318902
23 31 1
24 28 0.275994
24 26 0.519513
24 25 0.204493
25 29 0.798401
25 27 0.201599
26 30 0.577575
26 27 0.422425
27 31 1
28 30 0.25727
28 29 0.74273
29 31 1
30 31 1
