From To Probability
0 16 0.286392
0 8 0.112807
0 4 0.187801
0 2 0.188247
0 1 0.224753
1 17 1.16748e-07
1 9 0.919904
1 5 0.0426211
1 3 0.0374743
2 18 0.0480683
2 10 2.46836e-06
2 6 0.351349
2 3 0.600581
3 19 0.0172034
3 11 0.0172034
3 7 0.965593
4 20 0.0889108
4 12 2.14693e-06
4 6 0.310117
4 5 0.60097
5 21 0.0171809
5 13 0.0171809
5 7 0.965638
6 22 0.0172578
6 14 0.0172578
6 7 0.965484
7 23 0.5
7 15 0.5
8 24 1.08887e-07
8 12 1.08887e-07
8 10 1.08887e-07
8 9 1
9 25 0.333333
9 13 0.333333
9 11 0.333333
10 26 0.333333
10 14 0.333333
10 11 0.333333
11 27 0.5
11 15 0.5
12 28 0.333333
12 14 0.333333
12 13 0.333333
13 29 0.5
13 15 0.5
14 30 0.5
14 15 0.5
15 31 1
16 24 2.0554e-05
16 20 0.668776
16 18 0.331183
16 17 2.0554e-05
17 25 0.333333
17 21 0.333333
17 19 0.333333
18 26 0.333333
18 22 0.333333
18 19 0.333333
19 27 0.5
19 23 0.5
20 28 0.333333
20 22 0.333333
20 21 0.333333
21 29 0.5
21 23 0.5
22 30 0.5
22 23 0.5
23 31 1
24 28 0.333333
24 26 0.333333
24 25 0.333333
25 29 0.5
25 27 0.5
26 30 0.5
26 27 0.5
27 31 1
28 30 0.5
28 29 0.5
29 31 1
30 31 1
