From To Probability
0 16 4.055431e-02
0 8 2.526415e-01
0 4 2.382786e-03
0 2 1.985858e-04
0 1 7.042228e-01
1 17 7.579969e-05
1 9 9.999242e-01
1 5 4.233173e-08
1 3 9.398783e-11
2 18 2.146903e-01
2 10 7.695601e-01
2 6 1.242779e-05
2 3 1.573710e-02
3 19 1.317288e-04
3 11 9.998683e-01
3 7 7.247907e-11
4 20 5.506145e-01
4 12 5.221740e-03
4 6 1.758298e-05
4 5 4.441462e-01
5 21 4.743460e-02
5 13 9.525654e-01
5 7 3.835600e-10
6 22 9.912161e-01
6 14 5.408768e-03
6 7 3.375093e-03
7 23 7.965090e-02
7 15 9.203491e-01
8 24 4.346091e-06
8 12 9.487120e-11
8 10 8.715628e-04
8 9 9.991241e-01
9 25 9.516738e-01
9 13 1.974577e-07
9 11 4.832602e-02
10 26 1.029421e-03
10 14 2.213920e-11
10 11 9.989706e-01
11 27 1.000000e+00
11 15 2.044181e-10
12 28 9.362253e-05
12 14 1.224374e-04
12 13 9.997839e-01
13 29 9.996690e-01
13 15 3.310418e-04
14 30 2.170232e-02
14 15 9.782977e-01
15 31 1.000000e+00
16 24 2.151418e-02
16 20 1.455870e-04
16 18 9.640948e-09
16 17 9.783402e-01
17 25 1.000000e+00
17 21 3.037501e-08
17 19 5.358659e-14
18 26 7.498367e-01
18 22 8.688311e-06
18 19 2.501546e-01
19 27 1.000000e+00
19 23 5.201005e-11
20 28 7.201396e-04
20 22 1.382438e-09
20 21 9.992799e-01
21 29 1.000000e+00
21 23 2.295567e-13
22 30 8.944555e-02
22 23 9.105545e-01
23 31 1.000000e+00
24 28 4.176117e-12
24 26 3.048394e-08
24 25 1.000000e+00
25 29 5.116012e-03
25 27 9.948840e-01
26 30 9.746908e-13
26 27 1.000000e+00
27 31 1.000000e+00
28 30 4.279566e-09
28 29 1.000000e+00
29 31 1.000000e+00
30 31 1.000000e+00
