From To Probability
0 16 1.250088e-01
0 8 2.384848e-01
0 4 1.643386e-05
0 2 7.485733e-05
0 1 6.364151e-01
1 17 8.467290e-04
1 9 9.991531e-01
1 5 1.348526e-07
1 3 1.171294e-09
2 18 8.447679e-01
2 10 2.943719e-02
2 6 1.230538e-05
2 3 1.257826e-01
3 19 4.433812e-02
3 11 9.556611e-01
3 7 7.824397e-07
4 20 1.370411e-01
4 12 3.907464e-01
4 6 1.753215e-05
4 5 4.721950e-01
5 21 5.666851e-04
5 13 9.994333e-01
5 7 1.674766e-10
6 22 8.674105e-01
6 14 4.517603e-02
6 7 8.741351e-02
7 23 3.010736e-02
7 15 9.698926e-01
8 24 9.466973e-04
8 12 1.199966e-04
8 10 3.931355e-02
8 9 9.596198e-01
9 25 8.003268e-01
9 13 1.228970e-01
9 11 7.677616e-02
10 26 3.261536e-02
10 14 4.580772e-04
10 11 9.669266e-01
11 27 9.832696e-01
11 15 1.673036e-02
12 28 1.436933e-03
12 14 1.274848e-02
12 13 9.858146e-01
13 29 9.799165e-01
13 15 2.008348e-02
14 30 4.747180e-02
14 15 9.525282e-01
15 31 1.000000e+00
16 24 4.063762e-01
16 20 4.423878e-06
16 18 2.147210e-05
16 17 5.935979e-01
17 25 1.000000e+00
17 21 2.132177e-08
17 19 1.973361e-10
18 26 2.994955e-01
18 22 1.977811e-05
18 19 7.004847e-01
19 27 9.999999e-01
19 23 1.293430e-07
20 28 6.018737e-01
20 22 4.545882e-06
20 21 3.981218e-01
21 29 1.000000e+00
21 23 2.820805e-11
22 30 4.856388e-01
22 23 5.143612e-01
23 31 1.000000e+00
24 28 3.563925e-05
24 26 1.244167e-02
24 25 9.875227e-01
25 29 6.003574e-01
25 27 3.996426e-01
26 30 1.367091e-04
26 27 9.998633e-01
27 31 1.000000e+00
28 30 3.961209e-03
28 29 9.960388e-01
29 31 1.000000e+00
30 31 1.000000e+00
