From To Probability
0 16 2.493605e-01
0 8 3.689407e-01
0 4 1.274296e-02
0 2 1.863874e-02
0 1 3.503171e-01
1 17 9.293905e-04
1 9 5.418516e-01
1 5 1.334534e-02
1 3 4.438737e-01
2 18 2.103808e-01
2 10 7.870366e-01
2 6 1.752282e-05
2 3 2.565047e-03
3 19 6.778859e-04
3 11 9.993062e-01
3 7 1.586510e-05
4 20 9.999936e-01
4 12 5.446759e-06
4 6 9.981440e-07
4 5 3.158904e-09
5 21 9.915480e-01
5 13 2.128178e-03
5 7 6.323857e-03
6 22 9.999862e-01
6 14 1.377193e-05
6 7 2.741503e-11
7 23 9.946024e-01
7 15 5.397635e-03
8 24 1.323852e-01
8 12 2.820307e-04
8 10 1.127095e-07
8 9 8.673326e-01
9 25 6.234212e-01
9 13 3.731875e-01
9 11 3.391368e-03
10 26 9.461966e-01
10 14 3.285439e-06
10 11 5.380010e-02
11 27 9.990253e-01
11 15 9.747137e-04
12 28 1.000000e+00
12 14 1.136916e-11
12 13 1.473166e-08
13 29 9.999999e-01
13 15 7.264413e-08
14 30 1.000000e+00
14 15 1.278519e-10
15 31 1.000000e+00
16 24 1.395899e-01
16 20 9.114209e-02
16 18 9.131235e-02
16 17 6.779557e-01
17 25 8.283191e-02
17 21 3.856543e-02
17 19 8.786027e-01
18 26 9.831960e-01
18 22 4.138095e-04
18 19 1.639016e-02
19 27 9.997000e-01
19 23 3.000305e-04
20 28 2.962244e-01
20 22 7.028969e-01
20 21 8.787428e-04
21 29 2.533184e-02
21 23 9.746682e-01
22 30 9.999898e-01
22 23 1.018198e-05
23 31 1.000000e+00
24 28 1.200322e-03
24 26 3.285687e-07
24 25 9.987993e-01
25 29 9.938139e-01
25 27 6.186106e-03
26 30 2.256425e-04
26 27 9.997744e-01
27 31 1.000000e+00
28 30 1.949853e-03
28 29 9.980501e-01
29 31 1.000000e+00
30 31 1.000000e+00
