,Africa,Asia,Europe,Australia,World,Null
Africa,0.0,17185.565864900498,11942.965722890543,9847.785266088778,13791.462596701016,9089.97742220184
Asia,17185.565864900498,0.0,15625.127009660948,14291.506193476342,13222.713609498316,13992.822287152176
Europe,11942.965722890543,15625.127009660948,0.0,5590.661674581506,16522.152601485275,4551.011652549064
Australia,9847.785266088778,14291.506193476342,5590.661674581506,0.0,18772.570684880804,1340.0451927599718
World,13791.462596701016,13222.713609498316,16522.152601485275,18772.570684880804,0.0,19448.043205507103
Null,9089.97742220184,13992.822287152176,4551.011652549064,1340.0451927599718,19448.043205507103,0.0
