,Norway,India,Eritrea,Iran,Finland,Viet Nam,Sudan,Belgium,Ethiopia,South Africa,Malaysia,Taiwan,Germany,Philippines,Kenya,Somalia,Hong Kong,Lebanon,Ireland,Ghana,Ecuador,Uganda,Canada,Italy,Guatemala,Serbia,Djibouti,South Korea,United Kingdom,Peru,Mali,China,Bulgaria,Nepal,Brazil,Belarus,Spain,Oman,Colombia,Madagascar,Thailand,Swaziland,Czech Republic,Georgia,Australia,Pakistan,Denmark,Turkmenistan,Uzbekistan,USA,Russia,Sweden,Netherlands
Ecuador,[14.802571614583139],[11.755988088677103],[16.395387456115987],[16.76013908217534],[0.009548611111080687],[10.989257812499787],[13.99886067708306],[15.301207470901135],[15.498674665178404],[14.033540629897672],[12.719389855011118],[9.75225151909709],[13.99191305071194],[9.768229166666465],[9.768229166666465],[16.395408151490095],[9.768229166666465],[9.768229166666465],[0.009548611111080687],[10.998806423610786],[0.0],[9.768229166666465],[14.379422920522638],[15.382021909842871],[9.768229166666465],[14.090726870157926],[7.745751548057953],[12.894228946279165],[14.291456705931928],[14.582830581453887],[14.979870391176703],[13.971424563138118],[14.020063619928537],[9.768229166666465],[0.009548611111080687],[14.883080342519264],[13.702731845462534],[10.989257812499769],[0.009548611111080687],[9.768229166666465],[15.466634114583155],[14.990606783845298],[10.336191101954165],[9.752251519097085],[14.775279048446231],[14.344785120838562],[13.981228298610917],[10.989257812499769],[14.457107354563531],[11.617421071718535],[14.865956923172046],[2.0075954861110343],[13.572960107885958]
Uganda,[14.087611607142533],[11.102953476442362],[15.125943206316935],[16.49508624196271],[9.777777777777626],[9.768229166666368],[12.833333333332922],[15.605382211691161],[14.142857142856549],[13.595571499066804],[11.582502667275941],[12.833333333332888],[15.912708394205534],[0.0],[0.0],[15.774743402302034],[0.0],[0.0],[9.777777777777626],[9.777777777777604],[9.768229166666465],[0.0],[13.689729813471448],[14.939148279379907],[0.0],[16.06462510582659],[8.997867993409967],[8.997867993409912],[13.080120159017742],[14.377251959905989],[13.632746299202708],[11.31859095625387],[13.335288040363602],[0.0],[9.777777777777626],[16.404124101647557],[14.950708072786894],[9.768229166666442],[9.777777777777626],[0.0],[14.087611607142497],[16.27892659726646],[10.60422228612477],[12.83333333333288],[15.897652980358064],[14.380818528917446],[12.808268229166172],[9.768229166666442],[16.12973577181368],[11.450455171415772],[13.210770997515844],[9.777777777777626],[13.84011041393017]
Canada,[14.393628758073623],[13.71148013008321],[14.648251576042389],[14.483091662826611],[14.38105019596902],[16.102480446339595],[14.478583242747293],[14.235342767404674],[13.751755289071879],[12.219070641824867],[13.30195671980227],[14.562031038446277],[13.668214189735039],[13.689729813471448],[13.689729813471448],[13.822140640717487],[13.689729813471448],[13.689729813471448],[14.38105019596902],[15.070713943634242],[14.379422920522638],[13.689729813471448],[0.0],[13.40820827914262],[13.689729813471448],[13.08525702986626],[12.65900742302124],[13.367460431027238],[11.180954940085078],[11.53019567279422],[14.481368836145077],[13.011853543625366],[14.692499328563992],[13.689729813471448],[14.38105019596902],[14.880364316304327],[13.886983226981222],[15.178962205108643],[14.38105019596902],[13.689729813471448],[16.078570330891562],[13.197332390048407],[14.92712104946043],[14.606880759988712],[12.994302314468472],[12.23925061957706],[15.18754806181329],[15.178962205108643],[12.71109454335183],[14.01098040981078],[10.767969177943709],[14.379930940120827],[11.104218109880543]
Italy,[14.318579211596834],[14.222361009219561],[14.89764354111086],[15.380515836128229],[15.382576926128216],[15.962061410945358],[14.56361343084584],[10.789022500159085],[13.891147717665246],[13.950355257249596],[13.820066450844358],[15.314802397047798],[14.364580734926589],[14.939148279379907],[14.939148279379907],[14.220627424119279],[14.939148279379907],[14.939148279379907],[15.382576926128216],[15.772542486803282],[15.382021909842871],[14.939148279379907],[13.40820827914262],[0.0],[14.939148279379907],[13.855663658336743],[13.987274684952338],[14.082315539808626],[12.538314076208563],[14.287252628246858],[14.484457387872679],[13.67781713703691],[15.414216165666199],[14.939148279379907],[15.382576926128216],[15.115644597549952],[13.742287904584275],[15.939662927001017],[15.382576926128216],[14.939148279379907],[15.700469059290407],[13.709693068591294],[15.618987178951567],[15.709696942032657],[14.325000052759405],[12.467152645627946],[15.054244205601437],[15.939662927001017],[15.101730067393385],[14.772704092627889],[12.700899851024953],[14.866488376448485],[12.92857848327899]
Guatemala,[14.087611607142533],[11.102953476442362],[15.125943206316935],[16.49508624196271],[9.777777777777626],[9.768229166666368],[12.833333333332922],[15.605382211691161],[14.142857142856549],[13.595571499066804],[11.582502667275941],[12.833333333332888],[15.912708394205534],[0.0],[0.0],[15.774743402302034],[0.0],[0.0],[9.777777777777626],[9.777777777777604],[9.768229166666465],[0.0],[13.689729813471448],[14.939148279379907],[0.0],[16.06462510582659],[8.997867993409967],[8.997867993409912],[13.080120159017742],[14.377251959905989],[13.632746299202708],[11.31859095625387],[13.335288040363602],[0.0],[9.777777777777626],[16.404124101647557],[14.950708072786894],[9.768229166666442],[9.777777777777626],[0.0],[14.087611607142497],[16.27892659726646],[10.60422228612477],[12.83333333333288],[15.897652980358064],[14.380818528917446],[12.808268229166172],[9.768229166666442],[16.12973577181368],[11.450455171415772],[13.210770997515844],[9.777777777777626],[13.84011041393017]
Serbia,[15.626491580945753],[15.06209191228032],[16.662476896911723],[16.744011980149143],[14.090468712633818],[17.06674490746843],[15.815464914446858],[13.76928869979527],[15.624050836039844],[14.82334195774053],[14.421533790437747],[13.466345724570713],[12.221031066413179],[16.06462510582659],[16.06462510582659],[16.191796479120033],[16.06462510582659],[16.06462510582659],[14.090468712633818],[15.949478736983663],[14.090726870157926],[16.06462510582659],[13.08525702986626],[13.855663658336743],[16.06462510582659],[0.0],[14.394900314506662],[16.13635970512022],[13.499123878099827],[12.972539940556661],[15.624356248749134],[14.311026495525223],[14.379311341891244],[16.06462510582659],[14.090468712633818],[12.66234856975806],[14.316652084726861],[16.675297596316216],[14.090468712633818],[16.06462510582659],[16.582068427511935],[10.221527050553904],[14.684737864918565],[13.463895813257587],[10.242627630196582],[13.310910469723462],[15.93460648792819],[16.675297596316216],[11.87156575839137],[15.501365936630402],[13.717883197516207],[15.306411262853171],[12.653450487756343]
Djibouti,[9.723616035706078],[12.317983549314961],[11.527342641862052],[15.484416586132888],[7.750698572371865],[12.89422894627933],[10.29755191209259],[15.017866753846924],[7.752923117120399],[12.53546176825058],[12.249063005784627],[10.958581008992793],[14.42800668614864],[8.997867993409967],[8.997867993409967],[12.650016835755146],[8.997867993409967],[8.997867993409967],[7.750698572371865],[11.118000667726582],[7.745751548057953],[8.997867993409967],[12.65900742302124],[13.987274684952338],[8.997867993409967],[14.394900314506662],[0.0],[5.497485139460464],[13.17773938442019],[12.518792641757926],[8.403804532394066],[11.413710184618356],[11.460890170732274],[8.997867993409967],[7.750698572371865],[15.524574237255724],[14.022386397838158],[12.894228946279181],[7.750698572371865],[8.997867993409967],[15.9660500773192],[13.93938348207757],[11.821544641397352],[10.9585810089928],[13.870872020878394],[13.080191626223328],[10.288589064121652],[12.894228946279181],[15.074852097136969],[6.027038387374558],[13.44973001995274],[8.417060407457962],[12.362900634607287]
South Korea,[10.387678535706081],[13.031520592112866],[11.52734264186206],[15.853690053057411],[12.900765345004459],[12.894228946279329],[10.29755191209264],[15.685086467626355],[7.752923117120397],[13.509371106745654],[12.187450011249782],[13.408843744783919],[16.20470215152863],[8.997867993409912],[8.997867993409912],[12.949879661543907],[8.997867993409912],[8.997867993409912],[12.900765345004459],[11.118000667726577],[12.894228946279165],[8.997867993409912],[13.367460431027238],[14.082315539808626],[8.997867993409912],[16.13635970512022],[5.497485139460464],[0.0],[13.770440028187727],[13.717556452244223],[8.403804532394073],[11.95216503413402],[12.0631125031281],[8.997867993409912],[12.900765345004459],[17.0751643089215],[15.233522309867078],[12.89422894627917],[12.900765345004459],[8.997867993409912],[14.269210442545436],[15.436430521276616],[11.250803541877964],[13.408843744783937],[15.449891524129693],[14.168903539749763],[10.288589064121659],[12.89422894627917],[16.554272729343644],[8.602387008117562],[13.79243618399018],[12.56758442746137],[13.731168193827623]
United Kingdom,[14.415629524448693],[13.088338892173299],[14.887885274066857],[14.817561949352262],[14.293047618859518],[15.711662416741811],[14.085469683542504],[13.25037382768255],[14.189771015959156],[11.98001653436822],[12.409518221797333],[14.331455624886404],[13.826427990198383],[13.080120159017742],[13.080120159017742],[14.666294150570305],[13.080120159017742],[13.080120159017742],[14.293047618859518],[15.294224865913488],[14.291456705931928],[13.080120159017742],[11.180954940085078],[12.538314076208563],[13.080120159017742],[13.499123878099827],[13.17773938442019],[13.770440028187727],[0.0],[13.444450713769804],[14.413442774142668],[13.06119367976919],[14.352835832412921],[13.080120159017742],[14.293047618859518],[15.25021416396652],[14.013190649442098],[14.865818699366708],[14.293047618859518],[13.080120159017742],[14.974196632847363],[14.79885300122937],[15.230333476536465],[15.11891121122441],[14.543741580235768],[10.921446539003774],[15.171346455000494],[14.865818699366708],[14.546601865904341],[14.29744891386787],[10.455026301805022],[14.294857657612972],[11.188311169635412]
Peru,[14.616603562713175],[14.154103927338717],[14.276388407836162],[15.102505256011948],[14.583637125316331],[16.45188864607741],[14.113490881951861],[14.69423387004543],[13.227723284478015],[12.421765985490758],[13.771534382285127],[14.436626277830038],[13.40340651206224],[14.377251959905989],[14.377251959905989],[14.055709556534817],[14.377251959905989],[14.377251959905989],[14.583637125316331],[14.838573811898591],[14.582830581453887],[14.377251959905989],[11.53019567279422],[14.287252628246858],[14.377251959905989],[12.972539940556661],[12.518792641757926],[13.717556452244223],[13.444450713769804],[0.0],[13.570072431580465],[13.76269355471611],[14.868560148284818],[14.377251959905989],[14.583637125316331],[14.779893517125071],[15.175761601789718],[15.348005479521571],[14.583637125316331],[14.377251959905989],[15.448659968056935],[12.890666946567714],[14.600853804048763],[13.974590647509643],[13.518038311586556],[13.038596918223798],[14.318377939704162],[15.348005479521571],[13.383798209637744],[14.006137754589437],[12.609726928257482],[14.583448534050756],[11.925245874804277]
