,Belarus,Germany,Eritrea,Nepal,Taiwan,Lebanon,South Korea,Pakistan,United Kingdom,Norway,India,Brazil,Peru,Viet Nam,Ireland,Turkmenistan,Uzbekistan,Sudan,Ghana,Russia,Sweden,Djibouti,Australia,Madagascar,Bulgaria,Hong Kong,Serbia,Kenya,Finland,Canada,Ethiopia,Georgia,Italy,Uganda,Philippines,South Africa,Ecuador,Czech Republic,Malaysia,Thailand,Netherlands,China,Iran,Mali,USA,Denmark,Guatemala,Spain,Belgium,Oman,Swaziland,Somalia,Colombia
India,[308.9564578008631],[291.04587648133696],[54.38434487309895],[37.016649565715774],[38.18504939493973],[37.016649565715774],[42.18411382869556],[448.40552449048704],[490.50708312603103],[42.17981207391126],[0.0],[37.657950545094394],[501.36495859248254],[37.40397465823617],[37.657950545094394],[37.40060467708422],[237.78636294476075],[38.060049407721735],[37.90555936067188],[486.87512441691075],[37.657950545094394],[41.81160662364491],[244.01002768066138],[37.016649565715774],[56.50288968921278],[37.016649565715774],[458.7069854245008],[37.016649565715774],[37.657950545094394],[264.1806846911436],[42.185049407721756],[35.61200567258194],[451.62031585047066],[37.016649565715774],[37.016649565715774],[441.71838476396977],[37.65706158347162],[34.62786412859219],[35.39462743405382],[29.07642965875428],[270.63119881499154],[43.85860251008704],[206.50119155394938],[47.68844595071648],[42.18084631630815],[38.90336765538227],[37.016649565715774],[229.3915511085879],[412.11457632518807],[37.40060467708422],[289.47665986935397],[71.17721543532517],[37.657950545094394]
Brazil,[296.708021502673],[301.6430731259007],[23.839697318753622],[1.7777777777777768],[4.5],[1.7777777777777768],[11.640991505396599],[451.43311954198185],[496.74043725215336],[11.634434290463314],[37.657950545094394],[0.0],[494.66914783371175],[1.9997829861111114],[0.0],[1.9997829861111105],[250.87013853699378],[5.5],[2.0],[492.3947235924485],[0.0],[10.641448752767426],[247.43173823177696],[1.7777777777777768],[54.29282406190819],[1.7777777777777768],[453.57133390133504],[1.7777777777777768],[0.0],[266.64007367967525],[11.642857142857139],[4.5],[455.59992232452083],[1.7777777777777768],[1.7777777777777768],[451.034835350525],[0.0017361111111102252],[8.995982994019707],[31.53158478875894],[11.634434290463316],[274.4392244135769],[24.315326828855664],[187.63423518094942],[16.201115087805285],[11.633649755480743],[5.498044563832744],[1.7777777777777768],[224.00996710962247],[415.50592618346934],[1.9997829861111105],[285.4878930776185],[45.40357727805001],[0.0]
Peru,[575.7269081265933],[509.86828692325474],[487.49472478800357],[493.9932736329494],[494.15071529417474],[493.9932736329494],[491.4351840286327],[495.0130632968195],[526.9595806204173],[491.126404609061],[501.36495859248254],[494.66914783371175],[0.0],[495.1032996746159],[494.66914783371175],[494.8448110260659],[500.04658268023485],[493.9052232051751],[494.669393294307],[520.7527035368881],[494.66914783371175],[491.0000487288109],[437.6720884968501],[493.9932736329494],[493.0938157203744],[493.9932736329494],[444.5981771769874],[493.9932736329494],[494.66914783371175],[427.2639785072472],[491.12949319412206],[493.8119114300768],[485.4360909993575],[493.9932736329494],[493.9932736329494],[487.84481681688993],[494.6682797781562],[495.0923947935598],[499.08126722519336],[495.51127456332466],[480.4787420486883],[494.50844965787127],[547.6642192674398],[489.0704372372276],[492.3239797143289],[493.8995999099271],[493.9932736329494],[458.2826955913811],[451.2861398431579],[494.8448110260659],[472.29939807567644],[481.045807009744],[494.66914783371175]
Viet Nam,[298.20892369435614],[303.05824767613404],[23.838829263198065],[1.7760416666666663],[5.499565972222222],[1.7760416666666663],[11.63971700773364],[451.42737618643906],[496.74514381718524],[11.632698179352204],[37.40397465823617],[1.9997829861111114],[495.1032996746159],[0.0],[1.9997829861111114],[1.998046875],[252.25633680754663],[5.499565972222223],[1.9997829861111116],[492.5495059155155],[1.9997829861111114],[11.63971700773364],[248.4385293693637],[1.7760416666666663],[53.7202099073392],[1.7760416666666663],[454.7878970978276],[1.7760416666666663],[1.9997829861111114],[266.7862116348488],[11.642206101190473],[5.499565972222222],[455.8205314187478],[1.7760416666666663],[1.7760416666666663],[451.4558505904957],[1.998046875000001],[8.996561719060258],[31.613067699138455],[11.632698179352206],[275.0411173682301],[24.064749252628218],[187.63391787611175],[16.200678613994736],[12.13299806318721],[5.496308452721634],[1.7760416666666663],[226.00748640087366],[416.2412400223129],[1.998046875],[286.561565885799],[45.40270922249445],[1.9997829861111114]
Ireland,[296.708021502673],[301.6430731259007],[23.839697318753622],[1.7777777777777768],[4.5],[1.7777777777777768],[11.640991505396599],[451.43311954198185],[496.74043725215336],[11.634434290463314],[37.657950545094394],[0.0],[494.66914783371175],[1.9997829861111114],[0.0],[1.9997829861111105],[250.87013853699378],[5.5],[2.0],[492.3947235924485],[0.0],[10.641448752767426],[247.43173823177696],[1.7777777777777768],[54.29282406190819],[1.7777777777777768],[453.57133390133504],[1.7777777777777768],[0.0],[266.64007367967525],[11.642857142857139],[4.5],[455.59992232452083],[1.7777777777777768],[1.7777777777777768],[451.034835350525],[0.0017361111111102252],[8.995982994019707],[31.53158478875894],[11.634434290463316],[274.4392244135769],[24.315326828855664],[187.63423518094942],[16.201115087805285],[11.633649755480743],[5.498044563832744],[1.7777777777777768],[224.00996710962247],[415.50592618346934],[1.9997829861111105],[285.4878930776185],[45.40357727805001],[0.0]
Turkmenistan,[297.7116189175513],[302.9119112703662],[23.838829263198065],[1.7760416666666656],[5.499565972222221],[1.7760416666666656],[11.63971700773364],[451.89280173055425],[496.73475830138665],[11.632698179352204],[37.40060467708422],[1.9997829861111105],[494.8448110260659],[1.998046875],[1.9997829861111105],[0.0],[252.15492516482126],[5.499565972222221],[1.9997829861111103],[492.39401825668494],[1.9997829861111105],[11.639717007733639],[248.4385293693637],[1.7760416666666656],[54.292171959920886],[1.7760416666666656],[454.7878970978276],[1.7760416666666656],[1.9997829861111105],[266.66383263071714],[11.642206101190471],[5.499565972222221],[455.67125399372287],[1.7760416666666656],[1.7760416666666656],[451.0349956763018],[1.998046875],[8.996561719060256],[31.613067699138455],[10.968635679352204],[275.0411173682301],[24.064749252628218],[187.6334310511402],[16.200678613994736],[12.132998063187209],[5.496308452721633],[1.7760416666666656],[226.0072980539069],[416.2412400223129],[0.0],[286.561565885799],[45.40270922249445],[1.9997829861111105]
Uzbekistan,[349.3889896371386],[271.466872482216],[253.32826192260356],[251.60950310542927],[249.59057350474637],[251.60950310542927],[253.76212022756135],[443.4710563121037],[468.20712270093225],[253.85961636521643],[237.78636294476075],[250.87013853699378],[500.04658268023485],[252.25633680754663],[250.87013853699378],[252.15492516482126],[0.0],[252.75720513309494],[252.25720540410228],[456.5470966700775],[250.87013853699378],[252.86410452101956],[226.12835751967958],[251.60950310542927],[269.2770554571356],[251.60950310542927],[417.95961968149305],[251.60950310542927],[250.87013853699378],[250.8670693005751],[253.86434772024506],[249.5905235973799],[419.1905489049068],[251.60950310542927],[251.60950310542927],[451.375974273228],[250.86948668433425],[250.6566847252898],[255.90891895839715],[246.5401326370954],[298.6305485178053],[244.99476986157597],[261.8884704399215],[251.96039395394916],[253.3634958097946],[252.75525140793545],[251.60950310542927],[320.2049875873828],[357.35924605827597],[252.15492516482126],[256.6703498323079],[240.74977695081571],[250.87013853699378]
Sudan,[296.9980860024737],[303.5591282899705],[21.508614369193076],[5.0555555555555545],[6.5],[5.0555555555555545],[9.975900011003146],[451.9304707085499],[497.39531053672016],[9.311315908537004],[38.060049407721735],[5.5],[493.9052232051751],[5.499565972222223],[5.5],[5.499565972222221],[252.75720513309494],[0.0],[5.5],[493.53396497616313],[5.5],[9.975900011003146],[248.23634318077305],[5.0555555555555545],[49.36501747863809],[5.0555555555555545],[455.2857804021352],[5.0555555555555545],[5.5],[266.18953024509585],[9.309523809523812],[9.0],[456.07130537077296],[5.0555555555555545],[5.0555555555555545],[451.98218750225266],[5.499565972222222],[12.497429775236695],[30.20252098009053],[15.133566234907764],[274.42821590731273],[21.06532687714337],[188.19512393516837],[15.938756974040427],[7.6393687658128275],[6.500215693221884],[5.0555555555555545],[225.6394869921958],[416.4631795689902],[5.499565972222221],[287.2581327714256],[43.07422629328912],[5.5]
Ghana,[298.20979182467926],[302.76837548843883],[23.173235181074777],[1.7777777777777768],[5.5],[1.7777777777777768],[11.30781058785354],[451.43186408397986],[496.742694655896],[10.970371790463314],[37.90555936067188],[2.0],[494.669393294307],[1.9997829861111116],[2.0],[1.9997829861111103],[252.25720540410228],[5.5],[0.0],[492.3943304085459],[2.0],[11.30781058785354],[247.44646368239276],[1.7777777777777768],[54.29282396818765],[1.7777777777777768],[454.00919062405643],[1.7777777777777768],[2.0],[266.6368000981988],[10.976190476190476],[4.5],[455.593770802298],[1.7777777777777768],[1.7777777777777768],[451.0779815091554],[1.9997829861111114],[7.6655432247760205],[31.864460874721445],[11.634434290463316],[274.5958628115239],[24.01580048883556],[187.63423518094942],[15.19481084063347],[12.133649104853887],[4.4999976888327415],[1.7777777777777768],[226.00800161892542],[415.50656743948025],[1.9997829861111103],[285.6361075597241],[44.7372725412699],[2.0]
Russia,[447.5022949048211],[437.04039146192855],[490.97857026547103],[490.99546945718225],[493.5151372695501],[490.99546945718225],[492.4249502900084],[446.1119904783557],[393.52374275249986],[492.6926443565063],[486.87512441691075],[492.3947235924485],[520.7527035368881],[492.5495059155155],[492.3947235924485],[492.39401825668494],[456.5470966700775],[493.53396497616313],[492.3943304085459],[0.0],[492.3947235924485],[492.4255476301598],[403.7823274194405],[490.99546945718225],[485.199411794351],[490.99546945718225],[435.4571370209828],[490.99546945718225],[492.3947235924485],[404.3133809443451],[492.70006230209196],[493.5446421135049],[385.1786671934768],[490.99546945718225],[490.99546945718225],[430.20839173492664],[492.3932044943673],[493.8807036230555],[485.3722501839743],[488.7886952695052],[428.90914843067503],[490.19834915719014],[460.00088906489583],[492.2616729552783],[493.6733847348503],[493.29062866775587],[490.99546945718225],[428.699756750737],[419.5695078393525],[492.39401825668494],[389.6095436791636],[487.3173544234352],[492.3947235924485]
Sweden,[296.708021502673],[301.6430731259007],[23.839697318753622],[1.7777777777777768],[4.5],[1.7777777777777768],[11.640991505396599],[451.43311954198185],[496.74043725215336],[11.634434290463314],[37.657950545094394],[0.0],[494.66914783371175],[1.9997829861111114],[0.0],[1.9997829861111105],[250.87013853699378],[5.5],[2.0],[492.3947235924485],[0.0],[10.641448752767426],[247.43173823177696],[1.7777777777777768],[54.29282406190819],[1.7777777777777768],[453.57133390133504],[1.7777777777777768],[0.0],[266.64007367967525],[11.642857142857139],[4.5],[455.59992232452083],[1.7777777777777768],[1.7777777777777768],[451.034835350525],[0.0017361111111102252],[8.995982994019707],[31.53158478875894],[11.634434290463316],[274.4392244135769],[24.315326828855664],[187.63423518094942],[16.201115087805285],[11.633649755480743],[5.498044563832744],[1.7777777777777768],[224.00996710962247],[415.50592618346934],[1.9997829861111105],[285.4878930776185],[45.40357727805001],[0.0]
Djibouti,[296.85025490230396],[301.7890837320205],[13.2039634103667],[10.751696174400307],[12.558547322258493],[10.751696174400307],[0.9995427526291725],[450.93734936695506],[496.4039816746874],[1.0045670775050488],[41.81160662364491],[10.641448752767426],[491.0000487288109],[11.63971700773364],[10.641448752767426],[11.639717007733639],[252.86410452101956],[9.975900011003146],[11.30781058785354],[492.4255476301598],[10.641448752767426],[0.0],[242.2264003192034],[10.751696174400307],[46.74362812568627],[10.751696174400307],[455.05969295524255],[10.751696174400307],[10.641448752767426],[264.79273535267816],[1.0019164427239644],[12.558547322258493],[451.120181673634],[10.751696174400307],[10.751696174400307],[449.91699478827076],[10.640289658466507],[17.05542605395664],[35.080918388183704],[21.272415187085866],[273.3915908654332],[21.55773083793881],[188.74048770632044],[10.11780568221444],[3.3503103564555796],[9.973391924611358],[10.751696174400307],[225.09732312020273],[410.58758394624033],[11.639717007733639],[284.6357172409518],[34.77351427346753],[10.641448752767426]
Australia,[275.56834397520953],[228.41161367852987],[239.24929465222945],[247.994518952697],[248.43905588178822],[247.994518952697],[243.22594307183252],[379.6168057245005],[407.8025246272626],[242.8940485796036],[244.01002768066138],[247.43173823177696],[437.6720884968501],[248.4385293693637],[247.43173823177696],[248.4385293693637],[226.12835751967958],[248.23634318077305],[247.44646368239276],[403.7823274194405],[247.43173823177696],[242.2264003192034],[0.0],[247.994518952697],[257.88882556683564],[247.994518952697],[345.7085912887465],[247.994518952697],[247.43173823177696],[244.36602862484733],[242.8925904143762],[246.39553924493472],[365.5498896144186],[247.994518952697],[247.994518952697],[420.6303284159892],[247.4314295112591],[248.8094418234261],[259.0419669431248],[251.308744924862],[245.77202617694064],[237.0827535506322],[291.27130282493783],[245.0000393000052],[243.95823742124165],[247.73333500083842],[247.994518952697],[308.35838116516885],[313.15263289232075],[248.4385293693637],[141.42797477008438],[225.5009250315542],[247.43173823177696]
Madagascar,[297.76463964246466],[302.3215786436371],[23.17241706512349],[0.0],[5.055555555555555],[0.0],[10.751696174400307],[450.8556963858892],[495.2152017750438],[10.963427346018872],[37.016649565715774],[1.7777777777777768],[493.9932736329494],[1.7760416666666663],[1.7777777777777768],[1.7760416666666656],[251.60950310542927],[5.0555555555555545],[1.7777777777777768],[490.99546945718225],[1.7777777777777768],[10.751696174400307],[247.994518952697],[0.0],[53.6261563349209],[0.0],[454.34132654937025],[0.0],[1.7777777777777768],[265.4541803848489],[10.976190476190474],[5.055555555555555],[455.00489972422076],[0.0],[0.0],[450.34582454882906],[1.7760416666666663],[8.329316326318237],[30.308600487585345],[10.963427346018872],[274.15309653489663],[23.42593044674977],[187.40756051941838],[15.756668197328082],[11.686729807509249],[5.050995952721632],[0.0],[225.78451958150148],[415.5752243973129],[1.7760416666666656],[286.11755546913236],[44.73582504283905],[1.7777777777777768]
Bulgaria,[312.2100688172934],[304.68672047640445],[57.0531006491584],[53.6261563349209],[53.32891609383511],[53.6261563349209],[46.74362812568627],[453.4035668214382],[489.4885045905031],[46.08335458076183],[56.50288968921278],[54.29282406190819],[493.0938157203744],[53.7202099073392],[54.29282406190819],[54.292171959920886],[269.2770554571356],[49.36501747863809],[54.29282396818765],[485.199411794351],[54.29282406190819],[46.74362812568627],[257.88882556683564],[53.6261563349209],[0.0],[53.6261563349209],[456.1660785805367],[53.6261563349209],[54.29282406190819],[279.01751692594695],[46.0758108975634],[55.29282300158756],[444.446642200286],[53.6261563349209],[53.6261563349209],[440.3615001878775],[54.292171959920886],[55.21534818625244],[27.28897138281251],[50.29310835851873],[273.27555539236255],[38.61653971200679],[209.02926578676556],[54.49615102422199],[44.880355494411276],[53.32782814867203],[53.6261563349209],[233.73309463272233],[416.74661038891327],[54.292171959920886],[290.9893171630275],[67.66291496053252],[54.29282406190819]
Hong Kong,[297.76463964246466],[302.3215786436371],[23.17241706512349],[0.0],[5.055555555555555],[0.0],[10.751696174400307],[450.8556963858892],[495.2152017750438],[10.963427346018872],[37.016649565715774],[1.7777777777777768],[493.9932736329494],[1.7760416666666663],[1.7777777777777768],[1.7760416666666656],[251.60950310542927],[5.0555555555555545],[1.7777777777777768],[490.99546945718225],[1.7777777777777768],[10.751696174400307],[247.994518952697],[0.0],[53.6261563349209],[0.0],[454.34132654937025],[0.0],[1.7777777777777768],[265.4541803848489],[10.976190476190474],[5.055555555555555],[455.00489972422076],[0.0],[0.0],[450.34582454882906],[1.7760416666666663],[8.329316326318237],[30.308600487585345],[10.963427346018872],[274.15309653489663],[23.42593044674977],[187.40756051941838],[15.756668197328082],[11.686729807509249],[5.050995952721632],[0.0],[225.78451958150148],[415.5752243973129],[1.7760416666666656],[286.11755546913236],[44.73582504283905],[1.7777777777777768]
Serbia,[458.39494775922367],[412.2344611709276],[454.19790900884556],[454.34132654937025],[451.5630050103239],[454.34132654937025],[456.0592357078718],[359.16820669291076],[321.08085359682354],[455.72585610704],[458.7069854245008],[453.57133390133504],[444.5981771769874],[454.7878970978276],[453.57133390133504],[454.7878970978276],[417.95961968149305],[455.2857804021352],[454.00919062405643],[435.4571370209828],[453.57133390133504],[455.05969295524255],[345.7085912887465],[454.34132654937025],[456.1660785805367],[454.34132654937025],[0.0],[454.34132654937025],[453.57133390133504],[373.3909305897618],[455.7262563409192],[451.7593706602548],[304.1220520943847],[454.34132654937025],[454.34132654937025],[451.2200869858881],[453.57068283998296],[454.41725896429557],[451.6660230936304],[457.8579462034267],[404.3390614540571],[446.83264950163215],[501.6578447393884],[455.898460506842],[455.89207026164195],[454.5066164832454],[454.34132654937025],[339.3931432147766],[256.7861503002943],[454.7878970978276],[330.6168183969163],[445.3409670015415],[453.57133390133504]
Kenya,[297.76463964246466],[302.3215786436371],[23.17241706512349],[0.0],[5.055555555555555],[0.0],[10.751696174400307],[450.8556963858892],[495.2152017750438],[10.963427346018872],[37.016649565715774],[1.7777777777777768],[493.9932736329494],[1.7760416666666663],[1.7777777777777768],[1.7760416666666656],[251.60950310542927],[5.0555555555555545],[1.7777777777777768],[490.99546945718225],[1.7777777777777768],[10.751696174400307],[247.994518952697],[0.0],[53.6261563349209],[0.0],[454.34132654937025],[0.0],[1.7777777777777768],[265.4541803848489],[10.976190476190474],[5.055555555555555],[455.00489972422076],[0.0],[0.0],[450.34582454882906],[1.7760416666666663],[8.329316326318237],[30.308600487585345],[10.963427346018872],[274.15309653489663],[23.42593044674977],[187.40756051941838],[15.756668197328082],[11.686729807509249],[5.050995952721632],[0.0],[225.78451958150148],[415.5752243973129],[1.7760416666666656],[286.11755546913236],[44.73582504283905],[1.7777777777777768]
Finland,[296.708021502673],[301.6430731259007],[23.839697318753622],[1.7777777777777768],[4.5],[1.7777777777777768],[11.640991505396599],[451.43311954198185],[496.74043725215336],[11.634434290463314],[37.657950545094394],[0.0],[494.66914783371175],[1.9997829861111114],[0.0],[1.9997829861111105],[250.87013853699378],[5.5],[2.0],[492.3947235924485],[0.0],[10.641448752767426],[247.43173823177696],[1.7777777777777768],[54.29282406190819],[1.7777777777777768],[453.57133390133504],[1.7777777777777768],[0.0],[266.64007367967525],[11.642857142857139],[4.5],[455.59992232452083],[1.7777777777777768],[1.7777777777777768],[451.034835350525],[0.0017361111111102252],[8.995982994019707],[31.53158478875894],[11.634434290463316],[274.4392244135769],[24.315326828855664],[187.63423518094942],[16.201115087805285],[11.633649755480743],[5.498044563832744],[1.7777777777777768],[224.00996710962247],[415.50592618346934],[1.9997829861111105],[285.4878930776185],[45.40357727805001],[0.0]
Canada,[382.9565614599021],[348.11394041565745],[265.98016949067613],[265.4541803848489],[266.30416715169054],[265.4541803848489],[264.81572175338636],[369.67969147965925],[406.4917607021828],[265.0992956685601],[264.1806846911436],[266.64007367967525],[427.2639785072472],[266.7862116348488],[266.64007367967525],[266.66383263071714],[250.8670693005751],[266.18953024509585],[266.6368000981988],[404.3133809443451],[266.64007367967525],[264.79273535267816],[244.36602862484733],[265.4541803848489],[279.01751692594695],[265.4541803848489],[373.3909305897618],[265.4541803848489],[266.64007367967525],[0.0],[265.1064983052087],[266.52206923421005],[313.1267362722006],[265.4541803848489],[265.4541803848489],[378.3993750757318],[266.63877159046757],[267.5916363890999],[271.643641030046],[267.7981584278989],[276.8079755274217],[262.541374212527],[341.93687694644325],[268.51790802748536],[266.22363834653476],[267.6019615878876],[265.4541803848489],[222.00434684994656],[339.99587547800684],[266.66383263071714],[283.3871737653128],[257.59694689897304],[266.64007367967525]
Ethiopia,[297.8501957830356],[302.7890092204634],[12.204820196555687],[10.976190476190474],[13.226190476190473],[10.976190476190474],[1.0019164427239655],[451.1411393107001],[496.6576492350376],[0.0127631301716058],[42.185049407721756],[11.642857142857139],[491.12949319412206],[11.642206101190473],[11.642857142857139],[11.642206101190471],[253.86434772024506],[9.309523809523812],[10.976190476190476],[492.70006230209196],[11.642857142857139],[1.0019164427239644],[242.8925904143762],[10.976190476190474],[46.0758108975634],[10.976190476190474],[455.7262563409192],[10.976190476190474],[11.642857142857139],[265.1064983052087],[0.0],[13.226190476190473],[451.4473017245898],[10.976190476190474],[10.976190476190474],[450.1826847654716],[11.642206101190473],[16.72545594559906],[35.41637138529471],[21.27555532220934],[273.5979209315954],[21.225420932471263],[188.40904452692712],[9.451016083402939],[3.5161818663019706],[9.308872437690393],[10.976190476190474],[226.09717800621777],[410.79464859329823],[11.642206101190471],[285.3019691313174],[33.77484333935607],[11.642857142857139]
Georgia,[298.32136408079293],[302.3070410436696],[25.42384895634049],[5.055555555555555],[6.5],[5.055555555555555],[13.558090074887666],[451.84032718251984],[497.990322671588],[13.221135588693663],[35.61200567258194],[4.5],[493.8119114300768],[5.499565972222222],[4.5],[5.499565972222221],[249.5905235973799],[9.0],[4.5],[493.5446421135049],[4.5],[12.558547322258493],[246.39553924493472],[5.055555555555555],[55.29282300158756],[5.055555555555555],[451.7593706602548],[5.055555555555555],[4.5],[266.52206923421005],[13.226190476190473],[0.0],[454.88607837462763],[5.055555555555555],[5.055555555555555],[451.43303900198504],[4.499782986111112],[4.501123438372338],[33.78242359853245],[15.13356623490776],[274.5745712024068],[24.28574434116139],[188.5536896333797],[17.451115087805288],[13.883649109330669],[6.500215693221883],[5.055555555555555],[223.53206679146436],[414.8997243360161],[5.499565972222221],[285.6361075597241],[45.76499031114892],[4.5]
Italy,[399.3032536899254],[362.2300913915196],[452.1561003460922],[455.00489972422076],[455.66642685904486],[455.00489972422076],[451.4130990308466],[341.84176363075125],[308.03743461338206],[451.4451819753509],[451.62031585047066],[455.59992232452083],[485.4360909993575],[455.8205314187478],[455.59992232452083],[455.67125399372287],[419.1905489049068],[456.07130537077296],[455.593770802298],[385.1786671934768],[455.59992232452083],[451.120181673634],[365.5498896144186],[455.00489972422076],[444.446642200286],[455.00489972422076],[304.1220520943847],[455.00489972422076],[455.59992232452083],[313.1267362722006],[451.4473017245898],[454.88607837462763],[0.0],[455.00489972422076],[455.00489972422076],[387.51136129313005],[455.59905423009656],[455.99631706009257],[445.98781721318113],[454.85307838623845],[410.655121992036],[443.2396143725983],[443.87928443226076],[451.12636473422396],[451.88918229122925],[456.59159996420686],[455.00489972422076],[362.61176962285896],[255.5814408381812],[455.67125399372287],[336.3171227742349],[444.83548088512265],[455.59992232452083]
Uganda,[297.76463964246466],[302.3215786436371],[23.17241706512349],[0.0],[5.055555555555555],[0.0],[10.751696174400307],[450.8556963858892],[495.2152017750438],[10.963427346018872],[37.016649565715774],[1.7777777777777768],[493.9932736329494],[1.7760416666666663],[1.7777777777777768],[1.7760416666666656],[251.60950310542927],[5.0555555555555545],[1.7777777777777768],[490.99546945718225],[1.7777777777777768],[10.751696174400307],[247.994518952697],[0.0],[53.6261563349209],[0.0],[454.34132654937025],[0.0],[1.7777777777777768],[265.4541803848489],[10.976190476190474],[5.055555555555555],[455.00489972422076],[0.0],[0.0],[450.34582454882906],[1.7760416666666663],[8.329316326318237],[30.308600487585345],[10.963427346018872],[274.15309653489663],[23.42593044674977],[187.40756051941838],[15.756668197328082],[11.686729807509249],[5.050995952721632],[0.0],[225.78451958150148],[415.5752243973129],[1.7760416666666656],[286.11755546913236],[44.73582504283905],[1.7777777777777768]
Philippines,[297.76463964246466],[302.3215786436371],[23.17241706512349],[0.0],[5.055555555555555],[0.0],[10.751696174400307],[450.8556963858892],[495.2152017750438],[10.963427346018872],[37.016649565715774],[1.7777777777777768],[493.9932736329494],[1.7760416666666663],[1.7777777777777768],[1.7760416666666656],[251.60950310542927],[5.0555555555555545],[1.7777777777777768],[490.99546945718225],[1.7777777777777768],[10.751696174400307],[247.994518952697],[0.0],[53.6261563349209],[0.0],[454.34132654937025],[0.0],[1.7777777777777768],[265.4541803848489],[10.976190476190474],[5.055555555555555],[455.00489972422076],[0.0],[0.0],[450.34582454882906],[1.7760416666666663],[8.329316326318237],[30.308600487585345],[10.963427346018872],[274.15309653489663],[23.42593044674977],[187.40756051941838],[15.756668197328082],[11.686729807509249],[5.050995952721632],[0.0],[225.78451958150148],[415.5752243973129],[1.7760416666666656],[286.11755546913236],[44.73582504283905],[1.7777777777777768]
South Africa,[498.81816254316135],[465.06979071950707],[450.9749854910085],[450.34582454882906],[451.2564480386695],[450.34582454882906],[450.3389934896397],[416.59952193624304],[425.4921655226561],[450.17894343724953],[441.71838476396977],[451.034835350525],[487.84481681688993],[451.4558505904957],[451.034835350525],[451.0349956763018],[451.375974273228],[451.98218750225266],[451.0779815091554],[430.20839173492664],[451.034835350525],[449.91699478827076],[420.6303284159892],[450.34582454882906],[440.3615001878775],[450.34582454882906],[451.2200869858881],[450.34582454882906],[451.034835350525],[378.3993750757318],[450.1826847654716],[451.43303900198504],[387.51136129313005],[450.34582454882906],[450.34582454882906],[0.0],[451.03396729248885],[451.85831848541494],[439.58424020632276],[445.161812764045],[412.0818981012266],[449.04021003602924],[467.61557107433924],[450.8163465258037],[451.5599478277861],[450.7591983643664],[450.34582454882906],[435.99281445133556],[433.5683943705057],[451.0349956763018],[407.5402287870801],[443.24984746890436],[451.034835350525]
