,Africa,Asia,Europe,Australia,World,Null
Africa,0.0,27.671323041625037,28.241234163759582,27.418851717483065,17.12086178768113,26.722696470770572
Asia,27.671323041625037,0.0,28.694042046759378,27.55080606429327,22.474267350419304,26.34592400860762
Europe,28.241234163759582,28.694042046759378,0.0,29.056757784233216,21.847460341469848,26.928202989420555
Australia,27.418851717483065,27.55080606429327,29.056757784233216,0.0,25.426901319668218,28.019340377497098
World,17.12086178768113,22.474267350419304,21.847460341469848,25.426901319668218,0.0,26.241496420170947
Null,26.722696470770572,26.34592400860762,26.928202989420555,28.019340377497098,26.241496420170947,0.0
