From To Probability
0 16 1.301285e-01
0 8 2.045798e-01
0 4 2.532024e-01
0 2 1.652918e-01
0 1 2.467975e-01
1 17 1.996752e-07
1 9 2.978592e-01
1 5 6.329388e-01
1 3 6.920180e-02
2 18 9.488939e-01
2 10 4.497951e-03
2 6 1.424485e-02
2 3 3.236334e-02
3 19 3.453686e-05
3 11 1.553376e-01
3 7 8.446278e-01
4 20 3.735761e-01
4 12 3.524582e-01
4 6 2.700572e-01
4 5 3.908459e-03
5 21 9.153735e-07
5 13 8.194524e-01
5 7 1.805467e-01
6 22 9.969763e-01
6 14 2.836092e-03
6 7 1.875767e-04
7 23 3.703454e-04
7 15 9.996297e-01
8 24 4.601822e-01
8 12 6.159991e-06
8 10 5.397246e-01
8 9 8.704072e-05
9 25 3.124727e-06
9 13 6.814041e-05
9 11 9.999287e-01
10 26 9.999965e-01
10 14 1.032746e-07
10 11 3.401407e-06
11 27 8.559861e-01
11 15 1.440139e-01
12 28 5.997058e-01
12 14 4.002936e-01
12 13 6.257332e-07
13 29 5.490890e-06
13 15 9.999945e-01
14 30 1.000000e+00
14 15 1.876369e-08
15 31 1.000000e+00
16 24 3.020608e-03
16 20 4.422311e-02
16 18 9.519250e-05
16 17 9.526611e-01
17 25 3.824777e-02
17 21 9.614056e-01
17 19 3.466030e-04
18 26 5.209606e-04
18 22 1.951632e-02
18 19 9.799627e-01
19 27 1.530951e-02
19 23 9.846905e-01
20 28 2.545183e-01
20 22 7.606536e-03
20 21 7.378752e-01
21 29 9.914794e-01
21 23 8.520585e-03
22 30 5.467117e-02
22 23 9.453288e-01
23 31 1.000000e+00
24 28 1.660578e-03
24 26 4.797570e-01
24 25 5.185825e-01
25 29 2.024799e-02
25 27 9.797520e-01
26 30 1.371901e-03
26 27 9.986281e-01
27 31 1.000000e+00
28 30 9.896312e-01
28 29 1.036884e-02
29 31 1.000000e+00
30 31 1.000000e+00
