From To Probability
0 16 1.662687e-01
0 8 8.339250e-02
0 4 2.101793e-01
0 2 3.720041e-01
0 1 1.681554e-01
1 17 1.400812e-01
1 9 1.612892e-01
1 5 5.541514e-02
1 3 6.432144e-01
2 18 2.960835e-01
2 10 2.202226e-01
2 6 4.013568e-01
2 3 8.233713e-02
3 19 3.193155e-01
3 11 5.452262e-01
3 7 1.354583e-01
4 20 4.471887e-01
4 12 3.328524e-01
4 6 3.377890e-02
4 5 1.861800e-01
5 21 3.491940e-01
5 13 5.966733e-01
5 7 5.413275e-02
6 22 4.507992e-01
6 14 4.975940e-01
6 7 5.160675e-02
7 23 2.829681e-01
7 15 7.170319e-01
8 24 4.036666e-01
8 12 3.004757e-01
8 10 2.134859e-01
8 9 8.237180e-02
9 25 4.313442e-01
9 13 1.004800e-01
9 11 4.681758e-01
10 26 5.392780e-01
10 14 4.304634e-01
10 11 3.025865e-02
11 27 8.001279e-01
11 15 1.998721e-01
12 28 9.075574e-01
12 14 1.620459e-02
12 13 7.623801e-02
13 29 9.646513e-01
13 15 3.534865e-02
14 30 9.774233e-01
14 15 2.257674e-02
15 31 1.000000e+00
16 24 8.514506e-02
16 20 8.949128e-01
16 18 1.968679e-02
16 17 2.553196e-04
17 25 3.788613e-01
17 21 5.428273e-01
17 19 7.831145e-02
18 26 1.162683e-01
18 22 8.836670e-01
18 19 6.464519e-05
19 27 4.911433e-01
19 23 5.088567e-01
20 28 9.939450e-01
20 22 5.228184e-03
20 21 8.267698e-04
21 29 9.953196e-01
21 23 4.680376e-03
22 30 9.998458e-01
22 23 1.542074e-04
23 31 1.000000e+00
24 28 9.911505e-01
24 26 8.752574e-03
24 25 9.689276e-05
25 29 9.452585e-01
25 27 5.474145e-02
26 30 9.999749e-01
26 27 2.506599e-05
27 31 1.000000e+00
28 30 8.810703e-01
28 29 1.189297e-01
29 31 1.000000e+00
30 31 1.000000e+00
