From To Probability
0 16 1.600597e-06
0 8 2.013701e-01
0 4 4.065370e-01
0 2 1.218598e-04
0 1 3.919694e-01
1 17 2.621678e-13
1 9 1.019321e-08
1 5 9.999997e-01
1 3 3.104565e-07
2 18 3.378875e-12
2 10 5.005098e-05
2 6 9.999454e-01
2 3 4.586168e-06
3 19 2.250056e-19
3 11 1.030037e-12
3 7 1.000000e+00
4 20 1.279083e-02
4 12 2.868155e-03
4 6 8.915879e-01
4 5 9.275307e-02
5 21 9.223401e-07
5 13 6.391662e-08
5 7 9.999990e-01
6 22 1.479433e-02
6 14 3.905951e-01
6 7 5.946106e-01
7 23 1.091793e-01
7 15 8.908207e-01
8 24 1.054937e-04
8 12 4.075776e-03
8 10 9.860013e-05
8 9 9.957201e-01
9 25 1.723466e-09
9 13 9.999749e-01
9 11 2.505514e-05
10 26 2.218838e-08
10 14 9.988392e-01
10 11 1.160764e-03
11 27 1.479202e-15
11 15 1.000000e+00
12 28 4.683347e-01
12 14 4.007693e-01
12 13 1.308960e-01
13 29 7.512531e-05
13 15 9.999249e-01
14 30 3.922962e-01
14 15 6.077038e-01
15 31 1.000000e+00
16 24 8.588502e-01
16 20 1.496231e-02
16 18 7.619762e-11
16 17 1.261874e-01
17 25 1.181231e-06
17 21 9.999988e-01
17 19 5.274519e-12
18 26 5.766751e-03
18 22 9.941934e-01
18 19 3.988504e-05
19 27 1.193649e-10
19 23 1.000000e+00
20 28 2.906096e-01
20 22 1.324433e-05
20 21 7.093771e-01
21 29 3.036062e-01
21 23 6.963938e-01
22 30 8.969356e-01
22 23 1.030644e-01
23 31 1.000000e+00
24 28 4.677399e-04
24 26 1.922446e-10
24 25 9.995323e-01
25 29 1.000000e+00
25 27 4.256868e-10
26 30 9.899371e-01
26 27 1.006286e-02
27 31 1.000000e+00
28 30 5.946787e-06
28 29 9.999941e-01
29 31 1.000000e+00
30 31 1.000000e+00
