From To Probability
0 16 1.833053e-01
0 8 2.592056e-01
0 4 2.386965e-01
0 2 8.470473e-02
0 1 2.340879e-01
1 17 9.992510e-01
1 9 2.693622e-04
1 5 3.951110e-04
1 3 8.455326e-05
2 18 9.770214e-01
2 10 1.979844e-05
2 6 4.128829e-03
2 3 1.883001e-02
3 19 9.999987e-01
3 11 3.862950e-09
3 7 1.283204e-06
4 20 1.582379e-02
4 12 6.293015e-01
4 6 3.065462e-01
4 5 4.832846e-02
5 21 9.889938e-01
5 13 7.497815e-03
5 7 3.508345e-03
6 22 9.554174e-01
6 14 5.445015e-04
6 7 4.403807e-02
7 23 9.999999e-01
7 15 1.086422e-07
8 24 9.894436e-01
8 12 1.012061e-06
8 10 1.042024e-02
8 9 1.351341e-04
9 25 9.999981e-01
9 13 3.105905e-10
9 11 1.928452e-06
10 26 9.999979e-01
10 14 3.319452e-09
10 11 2.061179e-06
11 27 1.000000e+00
11 15 1.007954e-12
12 28 6.935603e-01
12 14 3.062131e-01
12 13 2.265410e-04
13 29 9.999192e-01
13 15 8.084025e-05
14 30 9.999951e-01
14 15 4.929502e-06
15 31 1.000000e+00
16 24 3.138536e-05
16 20 4.168265e-05
16 18 3.001435e-02
16 17 9.699126e-01
17 25 1.084919e-03
17 21 2.295125e-03
17 19 9.966200e-01
18 26 3.072596e-08
18 22 9.241190e-06
18 19 9.999907e-01
19 27 2.083009e-03
19 23 9.979170e-01
20 28 2.466416e-04
20 22 3.515945e-01
20 21 6.481589e-01
21 29 7.297545e-04
21 23 9.992702e-01
22 30 3.613263e-07
22 23 9.999996e-01
23 31 1.000000e+00
24 28 4.156227e-08
24 26 8.683253e-01
24 25 1.316747e-01
25 29 7.937198e-08
25 27 9.999999e-01
26 30 6.787445e-08
26 27 9.999999e-01
27 31 1.000000e+00
28 30 9.914234e-01
28 29 8.576590e-03
29 31 1.000000e+00
30 31 1.000000e+00
