From To Probability
0 16 2.834629e-01
0 8 1.015952e-01
0 4 1.698731e-01
0 2 2.241616e-01
0 1 2.209072e-01
1 17 1.892448e-05
1 9 8.082283e-01
1 5 4.188014e-02
1 3 1.498727e-01
2 18 2.847192e-01
2 10 4.804022e-03
2 6 2.267753e-01
2 3 4.837016e-01
3 19 2.019041e-04
3 11 4.059441e-01
3 7 5.938540e-01
4 20 8.617651e-05
4 12 1.137540e-05
4 6 3.741773e-02
4 5 9.624847e-01
5 21 2.291447e-07
5 13 3.604297e-03
5 7 9.963955e-01
6 22 4.107050e-05
6 14 2.552225e-07
6 7 9.999587e-01
7 23 1.348628e-03
7 15 9.986514e-01
8 24 3.908692e-03
8 12 2.825060e-03
8 10 8.347297e-03
8 9 9.849190e-01
9 25 4.156808e-05
9 13 1.109460e-01
9 11 8.890124e-01
10 26 1.813997e-03
10 14 1.742542e-03
10 11 9.964435e-01
11 27 2.818223e-04
11 15 9.997182e-01
12 28 2.768207e-07
12 14 3.245910e-04
12 13 9.996751e-01
13 29 8.515861e-08
13 15 9.999999e-01
14 30 1.270260e-07
14 15 9.999999e-01
15 31 1.000000e+00
16 24 1.911166e-05
16 20 9.998801e-01
16 18 4.816930e-07
16 17 1.003244e-04
17 25 6.163955e-04
17 21 9.993823e-01
17 19 1.305666e-06
18 26 6.769232e-07
18 22 9.998348e-01
18 19 1.645445e-04
19 27 2.184635e-05
19 23 9.999782e-01
20 28 4.894625e-06
20 22 1.839137e-04
20 21 9.998112e-01
21 29 2.405073e-01
21 23 7.594927e-01
22 30 1.057220e-07
22 23 9.999999e-01
23 31 1.000000e+00
24 28 9.738040e-01
24 26 1.050451e-06
24 25 2.619496e-02
25 29 9.999971e-01
25 27 2.925370e-06
26 30 9.577436e-01
26 27 4.225637e-02
27 31 1.000000e+00
28 30 1.536348e-06
28 29 9.999985e-01
29 31 1.000000e+00
30 31 1.000000e+00
