From To Probability
0 16 0.188356
0 8 0.0651921
0 4 0.193911
0 2 0.196227
0 1 0.356314
1 17 0.282873
1 9 0.276591
1 5 0.186531
1 3 0.254005
2 18 0.0828506
2 10 0.573775
2 6 0.284192
2 3 0.0591822
3 19 0.185646
3 11 0.096215
3 7 0.718139
4 20 0.191154
4 12 0.408581
4 6 0.34795
4 5 0.0523157
5 21 0.292264
5 13 0.174691
5 7 0.533045
6 22 0.382066
6 14 0.118074
6 7 0.49986
7 23 0.267733
7 15 0.732267
8 24 0.13852
8 12 0.29202
8 10 0.515894
8 9 0.0535659
9 25 0.369645
9 13 0.451459
9 11 0.178896
10 26 0.416804
10 14 0.370487
10 11 0.212708
11 27 0.395875
11 15 0.604125
12 28 0.499866
12 14 0.206186
12 13 0.293949
13 29 0.278737
13 15 0.721263
14 30 0.421392
14 15 0.578608
15 31 1
16 24 0.347655
16 20 0.331724
16 18 0.177286
16 17 0.143336
17 25 0.253391
17 21 0.507717
17 19 0.238893
18 26 0.207922
18 22 0.610696
18 19 0.181382
19 27 0.658593
19 23 0.341407
20 28 0.301884
20 22 0.401789
20 21 0.296327
21 29 0.528017
21 23 0.471983
22 30 0.674651
22 23 0.325349
23 31 1
24 28 0.520201
24 26 0.238515
24 25 0.241284
25 29 0.369869
25 27 0.630131
26 30 0.524407
26 27 0.475593
27 31 1
28 30 0.649248
28 29 0.350752
29 31 1
30 31 1
