From To Probability
0 16 0.209208
0 8 0.263854
0 4 0.155511
0 2 0.26534
0 1 0.106088
1 17 1.5186e-09
1 9 0.28531
1 5 0.109328
1 3 0.605362
2 18 0.103082
2 10 0.298239
2 6 0.0665872
2 3 0.532091
3 19 0.240664
3 11 0.26584
3 7 0.493496
4 20 0.127057
4 12 0.166678
4 6 0.277642
4 5 0.428623
5 21 0.333793
5 13 0.665148
5 7 0.00105926
6 22 0.848821
6 14 0.0475923
6 7 0.103587
7 23 0.573464
7 15 0.426536
8 24 0.254958
8 12 0.0497429
8 10 0.370767
8 9 0.324532
9 25 0.334974
9 13 0.664475
9 11 0.000550748
10 26 0.41358
10 14 0.28748
10 11 0.29894
11 27 0.389976
11 15 0.610024
12 28 0.344723
12 14 0.000403381
12 13 0.654874
13 29 0.0872385
13 15 0.912762
14 30 0.682742
14 15 0.317258
15 31 1
16 24 0.60481
16 20 0.0909992
16 18 0.30419
16 17 6.85987e-09
17 25 0.494999
17 21 0.504897
17 19 0.000103478
18 26 0.0784954
18 22 0.872849
18 19 0.0486554
19 27 0.31597
19 23 0.68403
20 28 0.516333
20 22 0.0140004
20 21 0.469666
21 29 0.0497784
21 23 0.950222
22 30 0.609834
22 23 0.390166
23 31 1
24 28 0.514505
24 26 0.00124996
24 25 0.484245
25 29 0.130514
25 27 0.869486
26 30 0.771195
26 27 0.228805
27 31 1
28 30 0.958497
28 29 0.0415029
29 31 1
30 31 1
